total_decreases,proportion_of_decreases,average_decrease_per_step,average_decrease_percentage_per_step,std_deviation_of_decreases,median_decrease,iqr_decrease,number_of_large_decreases,proportion_of_large_decreases,number_of_retries,item_name
4,0.005988023952095809,77189891.5,0.17766064109428448,102287174.38379045,4957728.5,108539785.5,1,0.3333333333333333,2,energy
3,0.03296703296703297,121915719.7,0.2660926244704739,119949250.3,121915719.7,119949250.29999998,1,0.5,5,energy
7,0.022292993630573247,615509378.611111,0.08716013538515008,1369457478.3907075,837422.6666660309,9762460.250000238,1,0.16666666666666666,3,perf_branches
3,0.046153846153846156,15729030.499899983,0.03050552359762706,5904470.360099971,15729030.499899983,5904470.360099971,0,0.0,5,weights
7,0.007494646680942184,21.666666666666668,0.006781429316640585,23.690129214975215,7.0,37.75,2,0.3333333333333333,1,perf_faults
6,0.022727272727272728,25.066666799999986,0.007843955397116513,28.1388618995944,3.3333330000000387,56.33333300000004,2,0.4,3,perf_faults
7,0.03365384615384615,20.875,0.006530580322227436,26.821846661505866,2.75,41.5625,2,0.3333333333333333,4,perf_faults
8,0.0975609756097561,17.742857142857183,0.005555406457153605,24.3535187919737,2.199999999999818,29.200000000000045,2,0.2857142857142857,5,perf_faults
7,0.007128309572301426,12.5,0.1524390243902439,19.172462891692692,4.0,5.25,1,0.16666666666666666,1,perf_cpu_clock
2,0.0020554984583761563,20.5,0.5616438356164384,0.0,20.5,0.0,0,0.0,2,perf_cpu_clock
4,0.00631911532385466,19.22222233333333,0.3117117118285853,8.184598760122425,15.0,9.333333499999998,1,0.3333333333333333,3,perf_cpu_clock
2,0.018867924528301886,9.0,0.2222222222222222,0.0,9.0,0.0,0,0.0,4,perf_cpu_clock
3,0.014150943396226415,10.299999999999999,0.2614213197969543,7.1,10.299999999999999,7.099999999999999,1,0.5,5,perf_cpu_clock
5,0.009746588693957114,13.125,0.21341463414634146,9.54184861544135,12.0,17.375,2,0.5,2,perf_task_clock
3,0.0030181086519114686,22.5,0.45608108416271,1.4999999999999982,22.5,1.4999999999999964,0,0.0,3,perf_task_clock
5,0.03048780487804878,12.4375,0.20557851239669422,5.455430207600497,14.5,4.3125,0,0.0,4,perf_task_clock
5,0.047619047619047616,7.95,0.13474576271186442,6.895469527160571,5.999999999999998,6.149999999999997,1,0.25,5,perf_task_clock
8,0.008056394763343404,0.9055428571428571,0.08257430488974113,2.1875720610871268,0.010699999999999932,0.0190500000000009,1,0.14285714285714285,1,time
7,0.009174311926605505,0.9363,0.09131961377157904,2.071798895485113,0.006549999999999834,0.02915000000000001,1,0.16666666666666666,2,time
4,0.009456264775413711,1.8536333333333335,0.18179292037712658,2.611604669334333,0.007599999999999163,2.77035,1,0.3333333333333333,3,time
4,0.01694915254237288,1.8538999999999997,0.1819439809998626,2.597100644950056,0.034900000000000375,2.7632999999999996,1,0.3333333333333333,4,time
3,0.028037383177570093,2.8048,0.27370311097232525,2.7742000000000004,2.8048,2.7742000000000004,1,0.5,5,time
3,0.0030211480362537764,3.2435135,0.29081599121754603,3.2386145,3.2435135,3.2386144999999997,1,0.5,1,perf_time
5,0.013774104683195593,1.4202504999999999,0.13708284337273577,2.4462063179064124,0.010258000000000322,1.421656,1,0.25,3,perf_time
6,0.03468208092485549,1.1397074000000003,0.1097219019841369,2.228614366478921,0.021307000000000187,0.05263400000000029,1,0.2,4,perf_time
4,0.037383177570093455,1.907132,0.18346847042716047,2.6704032679512406,0.023338000000000747,2.83462,1,0.3333333333333333,5,perf_time
