item_name_orig,mean_median_execution_time,rank
time,4.447275385598187,1.0
perf_cycles,4.447500626495457,2.0
perf_time,4.449364931587479,3.0
energy,4.464208113506902,4.0
perf_cache_references,4.515121190910577,5.0
perf_branch_misses,4.573709065769799,6.0
perf_instructions,4.637342459114734,7.0
perf_L1_dcache_loads,4.669889426208101,8.0
perf_branches,4.7881557800807055,9.0
perf_cache_misses,8.28940482038306,10.0
perf_cpu_clock,8.534132036915981,11.0
perf_task_clock,9.871173580153846,12.0
original,10.223790427990025,13.0
weights,10.686205129500014,14.0
perf_faults,17.220710740378127,15.0
