item_name,retry_mean,retry_median,retry_iqr,retry_std_dev
energy,3.272727272727273,4.0,1.0,1.009049958219026
perf_L1_dcache_loads,2.5454545454545454,2.0,2.5,1.439696937805757
perf_branch_misses,2.272727272727273,2.0,2.0,1.348399724926484
perf_branches,2.5454545454545454,2.0,2.0,1.3684762594679063
perf_cache_misses,2.090909090909091,2.0,1.5,1.1361818036340359
perf_cache_references,2.5454545454545454,2.0,2.5,1.572490786213793
perf_cpu_clock,2.6363636363636362,3.0,2.5,1.5666989036012804
perf_cycles,2.6363636363636362,2.0,3.0,1.6292775867068985
perf_faults,2.909090909090909,2.0,3.0,1.7002673586554238
perf_instructions,3.272727272727273,3.0,2.5,1.3483997249264843
perf_task_clock,3.6363636363636362,4.0,1.5,1.1200649331826502
perf_time,2.6363636363636362,1.0,4.0,1.9632996344280855
time,2.3636363636363638,2.0,2.5,1.433368568981982
weights,3.3636363636363638,3.0,2.0,1.2060453783110545
