item_name,rank_median_execution_time,median_execution_time
weights_2,1.0,9.285424428002443
perf_cache_references_1,2.0,9.515531881537754
perf_cache_misses_1,3.0,9.517727406986523
perf_branch_misses_3,4.0,9.520745678979438
perf_branches_1,5.0,9.523559176013805
perf_branches_5,6.0,9.525437452539336
time_1,7.0,9.529080764565151
perf_branch_misses_2,8.0,9.529680366569664
perf_cache_misses_5,9.0,9.530640451004729
perf_cycles_4,10.0,9.530770013516303
perf_branches_4,11.0,9.532479136949405
perf_cache_misses_3,12.0,9.532926413463429
perf_instructions_2,13.0,9.533138138940558
perf_branch_misses_4,14.0,9.53585905500222
perf_cache_references_4,15.0,9.537203716987278
perf_branch_misses_1,16.0,9.537825239473023
perf_branches_2,17.0,9.538313208555337
time_4,18.0,9.538717748015188
perf_instructions_4,19.0,9.53910116298357
perf_cycles_5,20.0,9.539755238511134
perf_instructions_1,21.0,9.542227220954373
perf_branch_misses_5,22.0,9.544085852452554
time_2,23.0,9.546418722486123
time_5,24.0,9.548039325047284
perf_cache_references_3,25.0,9.549710080435034
perf_cache_references_2,26.0,9.55002111196518
perf_cache_misses_2,27.0,9.550483671482652
perf_cycles_3,28.0,9.550841540505644
perf_instructions_3,29.0,9.552459945494775
perf_cache_references_5,30.0,9.553117891482543
perf_time_5,31.0,9.553298645478208
perf_cache_misses_4,32.0,9.553393806039821
perf_cycles_1,33.0,9.55371802992886
perf_time_3,34.0,9.555011606076732
perf_instructions_5,35.0,9.555414994538296
perf_time_4,36.0,9.557422023499385
time_3,37.0,9.559054246521555
perf_branches_3,38.0,9.559879912470933
perf_cycles_2,39.0,9.562592449539807
perf_time_2,40.0,9.564953474502545
perf_time_1,41.0,9.567443153995555
perf_L1_dcache_loads_4,42.0,9.57204801903572
perf_L1_dcache_loads_1,43.0,9.573710736527573
weights_4,44.0,9.58283406944247
perf_faults_2,45.0,9.585194236540701
energy_2,46.0,9.588667634467129
perf_faults_5,47.0,9.590527802531142
perf_faults_4,48.0,9.593644591514021
perf_L1_dcache_loads_5,49.0,9.59371403051773
perf_L1_dcache_loads_3,50.0,9.602883842948359
perf_faults_1,51.0,9.614450283988845
perf_L1_dcache_loads_2,52.0,9.62486657698173
perf_faults_3,53.0,9.637286504497752
perf_cpu_clock_4,54.0,9.935578638978768
energy_3,55.0,9.946652750484645
energy_5,56.0,9.955789535015356
energy_4,57.0,10.222136794996914
perf_cpu_clock_1,58.0,10.233837869018316
perf_task_clock_4,59.0,10.30243851756677
original,60.0,15.32724833796965
perf_task_clock_5,61.0,15.358730783511419
perf_cpu_clock_5,62.0,15.630442245514132
perf_task_clock_3,63.0,15.773564224480651
perf_task_clock_2,64.0,15.807002360990737
perf_cpu_clock_3,65.0,15.81931137299398
perf_task_clock_1,66.0,19.857892787491437
