item_name_orig,mean_median_execution_time_median,rank_median,mean_median_execution_time_IQR,rank_IQR
energy,5.823975663997771,6.0,4.132316974817285,7.75
original,10.329679055008455,13.0,5.257280120630412,10.25
perf_L1_dcache_loads,5.353802051588719,7.5,4.612298267596809,5.5
perf_branch_misses,5.125442684465089,7.5,5.992996494120121,5.0
perf_branches,5.096825015958165,6.5,5.413430233067993,4.75
perf_cache_misses,5.172295147128171,4.5,6.718510922816676,6.75
perf_cache_references,5.19001904077013,7.5,4.862467347709019,1.75
perf_cpu_clock,10.066976746705167,14.0,3.368517357948077,0.75
perf_cycles,4.869255301193334,5.5,5.765541345599923,1.0
perf_faults,7.362710912944749,9.5,7.038600356600424,5.5
perf_instructions,5.284935376155408,7.0,5.42950550602418,3.25
perf_task_clock,10.55014947874297,13.5,5.172131482982216,2.0
perf_time,5.0690983895969115,5.0,5.084342021128169,6.75
time,5.001931041077478,4.5,4.887590769621693,2.75
weights,6.943630381254479,11.0,3.860775464023754,2.75
