item_name,rank_median_execution_time_median,median_execution_time_median,rank_median_execution_time_IQR,median_execution_time_IQR
energy_1,10.0,5.144000979955308,25.0,4.248139331903076
energy_2,50.0,6.6271441470016725,28.25,4.582964378652832
energy_3,26.0,5.325966161712131,37.25,3.808671815015259
energy_4,13.5,5.046396540266869,40.75,4.5391393413544865
energy_5,45.0,5.472887682495639,27.0,5.250686684448738
original,60.5,10.329679055008455,44.5,5.257280120630412
perf_L1_dcache_loads_1,33.5,5.27640538050764,32.0,6.826403560146643
perf_L1_dcache_loads_2,46.0,5.514086040231632,13.25,5.768714668225584
perf_L1_dcache_loads_3,40.5,5.6069777214870555,43.0,4.903770149115502
perf_L1_dcache_loads_4,41.0,5.627278899250086,22.75,6.236012895019172
perf_L1_dcache_loads_5,44.0,5.96309384671622,22.75,4.3340055596709135
perf_branch_misses_1,32.0,5.347341672313632,40.75,7.4409501602294785
perf_branch_misses_2,18.5,5.036890588486131,31.75,4.798027107390226
perf_branch_misses_3,30.5,6.837201568488609,33.75,6.55394763971708
perf_branch_misses_4,40.0,5.328529513273679,19.5,6.070963435142403
perf_branch_misses_5,27.5,5.194716552734462,5.5,6.282008787440901
perf_branches_1,32.0,5.03331192530095,23.5,6.5907543860175775
perf_branches_2,28.5,5.334762801241595,32.25,4.6000592183536355
perf_branches_3,42.5,5.344424295733916,25.75,5.127587504006442
perf_branches_4,32.0,5.343872704281239,21.25,5.1786334468724835
perf_branches_5,38.0,5.322066303750034,22.25,6.054533353028091
perf_cache_misses_1,29.5,5.461154308024561,39.25,7.689574555710351
perf_cache_misses_2,23.5,4.810223320237128,12.25,5.862661344504673
perf_cache_misses_3,32.5,5.233638315501594,28.5,6.307750128203395
perf_cache_misses_4,35.0,5.318172135997884,28.0,6.113828510017809
perf_cache_misses_5,36.5,5.239118748791952,23.25,6.300778612603139
perf_cache_references_1,19.0,5.508302558475407,47.75,6.0813333676113075
perf_cache_references_2,25.0,5.15917127198918,19.75,6.219473007749578
perf_cache_references_3,36.5,5.2309852577745914,16.75,5.728484009703607
perf_cache_references_4,35.5,5.09343751148117,23.25,6.1602941082446705
perf_cache_references_5,29.5,5.887571701983688,15.0,4.54034674776085
perf_cpu_clock_1,58.0,9.922586633241735,13.75,4.068020869863176
perf_cpu_clock_2,61.0,9.866194915492088,9.0,4.259533582498392
perf_cpu_clock_3,55.0,7.379942563507939,20.75,6.342818786916604
perf_cpu_clock_4,62.0,10.942029507002985,3.5,2.949200814236974
perf_cpu_clock_5,64.5,12.015202639498227,6.75,5.932727891398827
perf_cycles_1,27.0,3.9616356645710766,32.25,5.9903415996313925
perf_cycles_2,24.5,5.2852367844607215,16.25,5.0151084322714965
perf_cycles_3,24.5,5.235833642502257,12.0,6.367387791498736
perf_cycles_4,26.5,5.179419063744717,20.0,5.882909013279459
perf_cycles_5,22.0,5.11818146398582,10.0,5.234610521372872
perf_faults_1,51.5,6.399498363753082,35.75,4.88447965062025
perf_faults_2,34.5,6.895960182504496,40.75,6.481152314900099
perf_faults_3,51.5,7.356522143512847,14.0,6.641798658631162
perf_faults_4,48.5,7.329719618501258,12.75,6.974723432864678
perf_faults_5,48.0,7.329338873751112,14.25,6.8926517463905554
perf_instructions_1,35.0,5.315638369967928,10.75,5.07154610224552
perf_instructions_2,28.0,5.227834712497497,36.5,4.83087806237927
perf_instructions_3,28.0,5.313490661237665,17.0,5.199507245365915
perf_instructions_4,31.0,5.30058306551291,13.75,4.893867857611895
perf_instructions_5,31.5,5.276868904027651,14.0,6.373193307040353
perf_task_clock_1,65.0,10.463254826987395,5.25,4.12784662537419
perf_task_clock_2,62.5,10.957673026002682,7.5,8.045050456545141
perf_task_clock_3,61.0,9.059250809979858,15.0,6.060021252996675
perf_task_clock_4,61.5,10.918508322987407,11.25,3.2775801404332032
perf_task_clock_5,54.5,7.9218302642402705,14.5,6.85214674920644
perf_time_1,7.0,4.880326839804184,11.75,5.575953256353159
perf_time_2,32.0,5.156131912750425,23.25,5.332704291398706
perf_time_3,16.0,5.142720058996929,13.25,4.72852283301836
perf_time_4,19.0,5.180122886245954,19.0,5.123048693621296
perf_time_5,20.5,5.227040927491544,18.75,4.879302826901949
time_1,17.5,4.552351503749378,22.0,5.013980589007531
time_2,13.5,5.143792658433085,18.75,5.0854133961152
time_3,16.5,5.218867788493299,14.0,5.069231709971007
time_4,18.0,5.13920121774936,3.75,4.2382350043944825
time_5,23.5,5.161334470014481,5.75,4.803551444771756
weights_1,55.0,7.048667840950657,19.0,5.293169913464226
weights_2,40.0,5.563767460931558,23.0,4.060799785045674
weights_3,33.0,6.287382236914709,29.0,4.726782670957618
weights_4,44.0,5.606191499507986,28.0,4.190585222037043
weights_5,53.0,5.73120072594611,9.0,4.514099178995821
