total_decreases,proportion_of_decreases,average_decrease_per_step,average_decrease_percentage_per_step,std_deviation_of_decreases,median_decrease,iqr_decrease,number_of_large_decreases,proportion_of_large_decreases,number_of_retries,item_name
9,0.10112359550561797,0.40374999999999994,0.07425560480385485,0.8374621692948284,0.03515000000000024,0.15237500000000004,1,0.125,1,time
7,0.09333333333333334,0.10110000000000004,0.018349123380158996,0.12823152238561833,0.020000000000000018,0.14287499999999986,2,0.3333333333333333,2,time
9,0.13846153846153847,0.083225,0.015413749675889913,0.09145840242973845,0.052200000000000024,0.09467499999999962,1,0.125,3,time
6,0.10909090909090909,0.10381999999999998,0.01956026150686738,0.15788335441078002,0.015199999999999214,0.05809999999999871,1,0.2,4,time
4,0.08695652173913043,0.1708333333333334,0.03233642501104172,0.1832415588475742,0.057800000000000296,0.20195000000000052,1,0.3333333333333333,5,time
14,0.10606060606060606,0.242757,0.04544721862617628,0.676204454227816,0.014067000000000274,0.052366999999999386,1,0.07692307692307693,1,perf_time
7,0.0958904109589041,0.5394795,0.09916078664052179,0.9386661345513551,0.043700500000000364,0.36980949999999935,1,0.16666666666666666,2,perf_time
6,0.0967741935483871,0.10098719999999997,0.01892362282275799,0.15060352613587755,0.03569099999999992,0.00989199999999979,1,0.2,3,perf_time
6,0.1016949152542373,0.11097219999999997,0.020726978231967955,0.13828775465586238,0.04165099999999988,0.13700199999999985,1,0.2,4,perf_time
6,0.125,0.09893059999999991,0.01852137668054309,0.17041055953502413,0.015960999999999892,0.014948999999999657,1,0.2,5,perf_time
9,0.1,216403779.5,0.012166618939467733,553038482.4820166,9578856.0,13542139.0,1,0.125,1,perf_instructions
11,0.1506849315068493,173086250.1,0.009730908446815598,503863308.1987431,872382.5,11817838.375,1,0.1,2,perf_instructions
6,0.0967741935483871,348683190.6666664,0.01958385898135398,686376271.2535335,9800848.333332062,8428633.333332062,1,0.2,3,perf_instructions
8,0.14814814814814814,245269426.67857143,0.013788435358648094,592135651.0093803,3583743.0,4957386.375,1,0.14285714285714285,4,perf_instructions
6,0.1276595744680851,344284038.84000015,0.019349278883980216,681465257.519791,3358837.0,7569417.0,1,0.2,5,perf_instructions
8,0.0851063829787234,1677517307.2857144,0.08582361320014739,3304275749.239995,110068208.0,847257758.5,1,0.14285714285714285,1,perf_cycles
5,0.07462686567164178,457616282.25,0.02335605060061509,543870276.5636038,207648034.5,389681704.25,1,0.25,2,perf_cycles
9,0.11392405063291139,248286512.875,0.012493777683996636,493502737.34568083,49818100.83333397,114633276.2499981,1,0.125,3,perf_cycles
5,0.09433962264150944,561649989.625,0.028175021671512913,789244226.9628754,128591489.5,554666827.5,1,0.25,4,perf_cycles
4,0.08695652173913043,610989525.6666666,0.030963115386674962,611151724.0416596,339137374.79999924,710515271.3000011,1,0.3333333333333333,5,perf_cycles
8,0.09090909090909091,34834081.14285714,0.09626113424129439,68343453.84035356,2830011.0,15582664.5,1,0.14285714285714285,1,perf_cache_references
8,0.11764705882352941,6165239.642857143,0.01686026517288521,14387385.644587813,351241.5,444059.75,1,0.14285714285714285,2,perf_cache_references
4,0.05970149253731343,12028698.444444338,0.03350993777298535,15953212.9313739,816116.6666669846,16954822.666666985,1,0.3333333333333333,3,perf_cache_references
7,0.12280701754385964,6370167.333333333,0.01761511098382784,13746030.245277407,274233.25,91455.25,1,0.16666666666666666,4,perf_cache_references
5,0.10869565217391304,9678081.75,0.02672836402707982,15309892.522765066,888612.0,8991275.350000024,1,0.25,5,perf_cache_references
9,0.0989010989010989,162865.375,0.08798302360758468,191903.07013303455,71472.0,202800.0,2,0.25,1,perf_cache_misses
4,0.05970149253731343,400517.6666666667,0.19832879664874606,135453.20632499704,330799.5,154518.25,0,0.0,2,perf_cache_misses
7,0.0958904109589041,140620.83333333334,0.05196534924828933,112996.40224211728,146405.66666650004,219951.66666600015,3,0.5,3,perf_cache_misses
8,0.13559322033898305,36926.0,0.015836454703015545,60522.34223630028,8439.25,24286.125,1,0.14285714285714285,4,perf_cache_misses
4,0.07692307692307693,112517.46666666663,0.043159987790752134,137612.49900037763,29061.799999999814,152256.90000000014,1,0.3333333333333333,5,perf_cache_misses
15,0.14150943396226415,20568325.0,0.0077910646567879395,66460590.80732866,267425.5,389772.5,1,0.07142857142857142,1,perf_branches
11,0.12222222222222222,26367470.45,0.009985217466836952,76924975.42597084,524749.25,1297442.75,1,0.1,2,perf_branches
6,0.1016949152542373,53013565.5333334,0.020068192590718736,102651020.17544575,2015584.0,1018193.6666660309,1,0.2,3,perf_branches
8,0.14285714285714285,37357883.60714286,0.014149361478547591,90395470.8124258,144539.5,1113605.125,1,0.14285714285714285,4,perf_branches
5,0.11627906976744186,65150216.25,0.02468458869648503,111682593.55756867,955691.899999857,64692697.05000019,1,0.25,5,perf_branches
11,0.10784313725490197,18969842.1,0.0572609023877165,48882282.79904067,162101.5,2518378.75,1,0.1,1,perf_branch_misses
15,0.13274336283185842,1781482.4285714286,0.00537653449195106,5243282.716152881,153426.75,418509.0,1,0.07142857142857142,2,perf_branch_misses
14,0.16666666666666666,14549031.076923074,0.04393298833857313,43441752.97748373,47295.66666698456,1351546.3333330452,1,0.07692307692307693,3,perf_branch_misses
11,0.1527777777777778,2398104.625,0.007240358456741993,6035952.386522596,117727.625,548799.1875,1,0.1,4,perf_branch_misses
6,0.125,4924372.519999993,0.014875220723994267,7845859.98153628,842101.3999999762,1925588.7999999523,1,0.2,5,perf_branch_misses
7,0.0958904109589041,10.166666666666666,0.16137566137566137,13.582055154586225,5.5,5.5,1,0.16666666666666666,1,perf_cpu_clock
4,0.05714285714285714,1.3333333333333333,0.13333333333333333,0.8498365855987975,1.0,1.0,1,0.3333333333333333,2,perf_cpu_clock
4,0.0625,17.777777666666665,0.25764895169082125,11.851967996190176,17.000000000000004,14.5000005,1,0.3333333333333333,3,perf_cpu_clock
6,0.13953488372093023,4.4,0.09887640449438204,2.9941609843159736,3.75,0.75,1,0.2,4,perf_cpu_clock
7,0.14893617021276595,8.1,0.12695924764890282,6.004165220911232,7.6,4.649999999999997,1,0.16666666666666666,5,perf_cpu_clock
4,0.0425531914893617,4.0,0.26666666666666666,0.816496580927726,4.0,1.0,0,0.0,1,perf_task_clock
6,0.07692307692307693,7.0,0.1728395061728395,6.180614856144977,2.5,9.0,2,0.4,2,perf_task_clock
3,0.05660377358490566,7.8333335,0.27976191071428574,1.4999994999999995,7.8333335,1.4999994999999986,0,0.0,3,perf_task_clock
5,0.09615384615384616,10.3125,0.17259414225941422,2.7464465678399788,11.0,3.3125,0,0.0,4,perf_task_clock
2,0.05,24.2,0.545045045045045,0.0,24.2,0.0,0,0.0,5,perf_task_clock
9,0.09,125.0,0.018732204405814475,147.8436674328664,39.0,218.0,3,0.375,1,perf_faults
5,0.07462686567164178,231.5,0.03490125131916177,54.37370688117557,229.5,97.5,0,0.0,2,perf_faults
5,0.0847457627118644,239.0833332499999,0.035923570058395436,257.2390128095583,163.0,383.4166662499995,1,0.25,3,perf_faults
10,0.15625,81.55555555555556,0.012501809696567112,103.11265264652282,16.75,142.5,3,0.3333333333333333,4,perf_faults
11,0.19642857142857142,77.8,0.011702767749699158,111.59010708839732,14.699999999999818,74.35000000000036,2,0.2,5,perf_faults
3,0.033707865168539325,4076302.833,0.5,2030341.1970000002,4076302.833,2030341.1969999997,0,0.0,1,weights
4,0.05405405405405406,3367417.7971666665,0.22317769543833738,1210649.5549285098,3000240.739499999,1448238.3345000003,0,0.0,2,weights
3,0.05263157894736842,2565962.0918335,0.28199441253285007,1079637.2821665003,2565962.0918335,1079637.2821665,0,0.0,3,weights
4,0.07692307692307693,5529418.83375,0.19056913248613794,5091974.793305364,2704885.5144999996,5736620.920875001,1,0.3333333333333333,4,weights
4,0.0975609756097561,6044684.287266667,0.1877025436696554,3090128.2347558667,5191212.953399999,3711742.013200002,1,0.3333333333333333,5,weights
8,0.09302325581395349,5491799.0,0.015199554188398058,3631552.1094408496,4006339.0,5636541.5,2,0.2857142857142857,1,energy
7,0.09090909090909091,28992346.416666668,0.06455840108856087,36110412.474903576,6759324.5,47719951.625,2,0.3333333333333333,2,energy
5,0.10416666666666667,9691920.916666746,0.030645751752753983,9235503.206388265,7668459.833333492,15018274.91666627,1,0.25,3,energy
4,0.10526315789473684,36143200.166666664,0.09251513937806495,50780600.021311134,424650.0,53955008.0,1,0.3333333333333333,4,energy
5,0.1388888888888889,7797013.450000003,0.02527741082207416,5648821.3001003135,6023391.400000006,5825608.150000021,1,0.25,5,energy
7,0.07291666666666667,72404225.16666667,0.015897324749552938,158265206.95297578,1243809.0,2730816.0,1,0.16666666666666666,1,perf_L1_dcache_loads
4,0.06896551724137931,144263536.5,0.03165752185330106,202266862.27500802,1328003.5,214580755.0,1,0.3333333333333333,2,perf_L1_dcache_loads
6,0.10714285714285714,86448899.4,0.018978933086944212,169950240.19408622,1092442.333333969,4117611.3333330154,1,0.2,3,perf_L1_dcache_loads
3,0.06976744186046512,215921019.25,0.04740678534916297,211402329.25,215921019.25,211402329.25,1,0.5,4,perf_L1_dcache_loads
7,0.16666666666666666,72703695.10000007,0.015946409927370113,160221997.01847377,631453.7000000477,2927512.450000167,1,0.16666666666666666,5,perf_L1_dcache_loads
