item_name_orig,mean_median_execution_time,rank
perf_cache_misses,3.615710320101061,1.0
perf_time,3.8018124813002943,2.0
perf_branch_misses,3.876868480797566,3.0
time,4.295312218499748,4.0
perf_cache_references,4.313342177799496,5.0
perf_cycles,4.385232241700578,6.0
perf_instructions,4.982308768101939,7.0
perf_faults,4.9926288234943055,8.0
perf_branches,5.010348251301911,9.0
weights,5.3214415111055136,10.0
original,5.364952643496508,11.0
energy,5.374348497836036,12.0
perf_L1_dcache_loads,5.424602597302874,13.0
perf_task_clock,5.927166549902177,14.0
perf_cpu_clock,8.572059014000114,15.0
