item_name,rank_median_execution_time,median_execution_time
perf_cache_misses_1,1.0,1.3633092425006907
perf_cache_misses_2,2.0,2.193839986503008
perf_cycles_1,3.0,2.1957090190044255
perf_cache_references_1,4.0,2.1972658349986887
perf_time_1,5.0,2.2059830675025296
perf_time_2,6.0,2.2061363799984974
perf_branch_misses_1,7.0,2.2107727869952214
perf_branch_misses_3,8.0,2.219988041993929
time_1,9.0,2.2475160480025806
time_2,10.0,4.694222116497258
perf_cache_misses_3,11.0,4.826047789501899
perf_cache_references_5,12.0,4.830478787996981
perf_time_5,13.0,4.8358251319987176
time_4,14.0,4.836223740501737
perf_time_3,15.0,4.840693653502967
perf_cache_references_3,16.0,4.843241693510208
time_3,17.0,4.845516838995536
perf_cache_misses_5,18.0,4.845543802504835
perf_cache_references_2,19.0,4.846052577500814
perf_cache_references_4,20.0,4.849671994990786
perf_cache_misses_4,21.0,4.849810779494874
time_5,22.0,4.85308234850163
perf_faults_1,23.0,4.8772732479992555
perf_cycles_5,24.0,4.8880012604931835
perf_cycles_4,25.0,4.89693224200164
perf_branch_misses_5,26.0,4.89773617299943
perf_time_4,27.0,4.920424173498759
perf_cpu_clock_5,28.0,4.928168463498878
perf_cycles_2,29.0,4.942491811001673
perf_instructions_5,30.0,4.950878387004195
perf_task_clock_4,31.0,4.951016477003577
perf_faults_3,32.0,4.954152655496728
weights_3,33.0,4.966115806004382
perf_branches_3,34.0,4.96746259349311
perf_instructions_4,35.0,4.980354883002292
perf_instructions_2,36.0,4.984976784999162
perf_branches_5,37.0,4.988999801498721
perf_faults_2,38.0,4.989649413982988
perf_cpu_clock_3,39.0,4.997162191000825
perf_instructions_3,40.0,4.997202433001803
perf_instructions_1,41.0,4.9981313525022415
perf_cycles_3,42.0,5.003026876001968
perf_branch_misses_4,43.0,5.015687524006353
perf_branches_4,44.0,5.01672942150617
perf_branches_2,45.0,5.016921989503317
perf_branch_misses_2,46.0,5.040157877992897
perf_task_clock_5,47.0,5.056082048002281
perf_branches_1,48.0,5.06162745050824
perf_faults_5,49.0,5.065335759994923
perf_faults_4,50.0,5.0767330399976345
energy_3,51.0,5.236200003491831
energy_5,52.0,5.240861983009381
weights_5,53.0,5.245731761489878
weights_2,54.0,5.332350183511153
original,55.0,5.364952643496508
perf_L1_dcache_loads_2,56.0,5.368604713992681
perf_L1_dcache_loads_3,57.0,5.378838427510345
perf_cpu_clock_2,58.0,5.390325227002904
energy_2,59.0,5.392365018997225
energy_4,60.0,5.395749675502884
perf_task_clock_3,61.0,5.400242303003324
perf_L1_dcache_loads_4,62.0,5.406912402017042
perf_task_clock_2,63.0,5.419675583500066
perf_L1_dcache_loads_5,64.0,5.426803431997541
weights_1,65.0,5.456818305014167
perf_L1_dcache_loads_1,66.0,5.541854010996758
weights_4,67.0,5.606191499507986
energy_1,68.0,5.606565808178857
perf_task_clock_1,69.0,8.808816338001634
perf_cpu_clock_4,70.0,11.427660294495581
perf_cpu_clock_1,71.0,16.116978894002386
