item_name,rank_new_highs,new_highs
perf_task_clock_5,1.0,0
perf_L1_dcache_loads_4,2.0,1
weights_3,2.0,1
perf_cycles_5,3.0,2
weights_5,3.0,2
perf_cache_references_3,3.0,2
energy_4,3.0,2
perf_cache_misses_2,3.0,2
perf_cpu_clock_3,3.0,2
time_5,3.0,2
perf_L1_dcache_loads_2,3.0,2
perf_cache_misses_5,3.0,2
perf_task_clock_4,4.0,3
perf_faults_3,4.0,3
perf_cache_references_5,4.0,3
perf_task_clock_3,4.0,3
weights_2,4.0,3
perf_faults_2,4.0,3
perf_branches_5,4.0,3
weights_4,4.0,3
perf_cycles_2,4.0,3
energy_3,4.0,3
energy_5,4.0,3
perf_cycles_4,4.0,3
perf_cpu_clock_4,5.0,4
perf_L1_dcache_loads_3,5.0,4
perf_branches_3,5.0,4
time_4,5.0,4
perf_time_3,5.0,4
perf_time_5,5.0,4
perf_instructions_3,5.0,4
weights_1,5.0,4
perf_instructions_5,5.0,4
perf_time_4,5.0,4
perf_branch_misses_5,5.0,4
perf_L1_dcache_loads_1,6.0,5
perf_task_clock_2,6.0,5
energy_2,6.0,5
perf_cpu_clock_5,6.0,5
perf_L1_dcache_loads_5,6.0,5
time_2,6.0,5
perf_time_2,6.0,5
perf_cache_misses_3,6.0,5
perf_cache_references_4,6.0,5
perf_task_clock_1,7.0,6
perf_branches_4,7.0,6
perf_instructions_4,7.0,6
perf_cycles_1,7.0,6
perf_cache_misses_4,7.0,6
perf_cache_references_1,7.0,6
perf_cache_references_2,7.0,6
time_1,8.0,7
time_3,8.0,7
perf_instructions_1,8.0,7
perf_faults_1,8.0,7
perf_cycles_3,8.0,7
perf_cpu_clock_1,9.0,8
perf_faults_4,9.0,8
perf_cache_misses_1,9.0,8
perf_branches_2,10.0,9
perf_instructions_2,10.0,9
perf_branch_misses_1,10.0,9
perf_cpu_clock_2,10.0,9
perf_branch_misses_4,10.0,9
perf_faults_5,10.0,9
energy_1,11.0,10
perf_time_1,12.0,12
perf_branch_misses_3,12.0,12
perf_branches_1,13.0,13
perf_branch_misses_2,13.0,13
