item_name_orig,mean_median_execution_time,rank
perf_cycles,5.023467315291055,1.0
original,5.158142469997983,2.0
perf_branches,5.171241060190368,3.0
perf_L1_dcache_loads,5.283001505874563,4.0
time,5.294730798120145,5.0
energy,5.315574530480989,6.0
perf_cache_references,5.396397910488304,7.0
perf_time,5.431738542008679,8.0
perf_branch_misses,5.45904736800585,9.0
perf_instructions,5.587561984208878,10.0
perf_cache_misses,5.6332740929094145,11.0
perf_faults,5.809959092689678,12.0
weights,5.889841692161281,13.0
perf_cpu_clock,6.055218988121487,14.0
perf_task_clock,10.65481117857853,15.0
