item_name,rank_median_execution_time,median_execution_time
perf_cycles_1,1.0,3.210446856566705
perf_branches_1,2.0,3.2730015494744293
perf_L1_dcache_loads_1,3.0,3.303769371996168
energy_4,4.0,4.317
time_1,5.0,4.3899327530525625
perf_cache_misses_2,6.0,4.913235105981585
perf_branch_misses_2,7.0,5.033623298979364
perf_cache_references_1,8.0,5.046046376985032
perf_time_1,9.0,5.051468198071234
energy_1,10.0,5.144000979955308
original,11.0,5.158142469997983
perf_cache_references_4,12.0,5.3372030279715545
perf_cycles_5,13.0,5.348361667478457
perf_cpu_clock_1,14.0,5.351485944527667
weights_4,15.0,5.3957045339629985
energy_3,16.0,5.415732319932431
perf_time_4,17.0,5.439821598993149
time_4,18.0,5.442178694996983
perf_time_3,19.0,5.4447464644908905
perf_cycles_4,20.0,5.461905885487795
perf_cycles_3,21.0,5.468640409002546
time_5,22.0,5.469586591527332
perf_instructions_2,23.0,5.470692639995832
perf_cache_references_2,24.0,5.472289966477547
energy_5,25.0,5.472887682495639
perf_branch_misses_3,26.0,5.475750739977229
perf_branch_misses_5,27.0,5.491696932469495
perf_cache_references_5,28.0,5.507721358968411
perf_cpu_clock_4,29.0,5.511644366022665
weights_2,30.0,5.563767460931558
time_2,31.0,5.579737213032786
time_3,32.0,5.592218737991061
perf_instructions_5,33.0,5.602859421051107
perf_time_2,34.0,5.604399725503754
perf_instructions_1,35.0,5.613667722500395
perf_time_5,36.0,5.61825672298437
perf_cache_references_3,37.0,5.618728822038975
perf_instructions_4,38.0,5.620811248023529
perf_branches_5,39.0,5.625603497028351
perf_cycles_2,40.0,5.62798175791977
perf_instructions_3,41.0,5.629778889473528
perf_cache_misses_5,42.0,5.63269369507907
perf_branches_2,43.0,5.635500650969334
perf_cache_misses_3,44.0,5.641228841501288
perf_branch_misses_4,45.0,5.641371502541006
perf_branch_misses_1,46.0,5.652794366062153
perf_branches_3,47.0,5.654388730472419
perf_L1_dcache_loads_2,48.0,5.659567366470583
perf_branches_4,49.0,5.667710873007309
perf_faults_4,50.0,5.681606816011481
perf_faults_5,51.0,5.694347904995084
perf_faults_3,52.0,5.696697814506479
weights_3,53.0,5.70986789901508
perf_cpu_clock_3,54.0,5.728143478510901
weights_5,55.0,5.73120072594611
perf_L1_dcache_loads_5,56.0,5.768908378959168
perf_cache_misses_4,57.0,5.786533492500894
perf_L1_dcache_loads_3,58.0,5.835117015463766
perf_L1_dcache_loads_4,59.0,5.847645396483131
perf_faults_2,60.0,5.978901085502002
perf_faults_1,61.0,5.998241842433345
perf_task_clock_2,62.0,6.048920782923233
perf_cache_misses_1,63.0,6.1926793294842355
energy_2,64.0,6.228251670021564
perf_task_clock_3,65.0,6.714525246992707
perf_task_clock_1,66.0,6.738262894446962
perf_cpu_clock_2,67.0,6.76723751204554
perf_task_clock_5,68.0,6.8272001364966854
perf_cpu_clock_5,69.0,6.917583639500663
weights_1,70.0,7.048667840950657
perf_task_clock_4,71.0,26.94514683203306
