item_name,rank_new_highs,new_highs
perf_cpu_clock_1,1.0,2
weights_4,1.0,2
perf_task_clock_4,1.0,2
perf_cpu_clock_4,2.0,3
perf_L1_dcache_loads_2,2.0,3
weights_5,2.0,3
weights_3,2.0,3
perf_cpu_clock_5,2.0,3
perf_task_clock_1,3.0,4
perf_cpu_clock_3,3.0,4
perf_instructions_2,3.0,4
perf_cpu_clock_2,3.0,4
perf_task_clock_5,3.0,4
perf_branch_misses_5,4.0,5
perf_task_clock_2,4.0,5
perf_cycles_4,5.0,6
perf_L1_dcache_loads_4,5.0,6
perf_L1_dcache_loads_5,5.0,6
perf_task_clock_3,5.0,6
weights_2,5.0,6
time_5,5.0,6
perf_cache_misses_3,5.0,6
energy_3,6.0,7
perf_branch_misses_4,6.0,7
perf_L1_dcache_loads_3,6.0,7
perf_branches_4,6.0,7
perf_branches_2,6.0,7
perf_branches_5,6.0,7
perf_time_5,6.0,7
perf_cache_references_5,6.0,7
perf_cache_references_4,6.0,7
perf_instructions_3,6.0,7
perf_cache_references_2,6.0,7
perf_instructions_4,7.0,8
perf_time_4,7.0,8
weights_1,7.0,8
perf_branches_3,7.0,8
perf_faults_4,7.0,8
perf_faults_1,7.0,8
perf_faults_3,7.0,8
perf_faults_2,7.0,8
perf_cycles_2,8.0,9
perf_branch_misses_3,8.0,9
time_2,8.0,9
perf_cycles_5,8.0,9
perf_branch_misses_2,8.0,9
perf_time_2,9.0,10
perf_cache_misses_5,9.0,10
perf_time_3,10.0,11
perf_cycles_3,10.0,11
perf_faults_5,10.0,11
time_3,10.0,11
perf_instructions_5,10.0,11
time_4,11.0,12
perf_cache_misses_2,11.0,12
perf_cache_references_3,11.0,12
perf_branch_misses_1,12.0,13
perf_cache_misses_4,12.0,13
energy_5,13.0,14
perf_instructions_1,13.0,14
perf_branches_1,13.0,14
time_1,13.0,14
energy_2,14.0,15
energy_1,15.0,16
perf_cycles_1,15.0,16
energy_4,16.0,17
perf_L1_dcache_loads_1,17.0,20
perf_time_1,18.0,21
perf_cache_references_1,19.0,22
perf_cache_misses_1,20.0,23
