total_decreases,proportion_of_decreases,average_decrease_per_step,average_decrease_percentage_per_step,std_deviation_of_decreases,median_decrease,iqr_decrease,number_of_large_decreases,proportion_of_large_decreases,number_of_retries,item_name
20,0.09569377990430622,0.7279526315789474,0.05211946957678438,2.4003884684223884,0.008799999999999919,0.026850000000000054,2,0.10526315789473684,1,time
15,0.09090909090909091,0.7865428571428571,0.056737661738094546,2.74232559302561,0.01429999999999998,0.040249999999999564,1,0.07142857142857142,2,time
9,0.06976744186046512,1.420525,0.0999933127789275,3.447301145733427,0.07455000000000012,0.17977500000000046,1,0.125,3,time
10,0.0970873786407767,1.2361777777777778,0.08846143448482044,3.3059970762835014,0.011499999999999844,0.04479999999999995,1,0.1111111111111111,4,time
8,0.13333333333333333,1.551114285714286,0.11319853792085341,3.738851576708155,0.031800000000000495,0.03270000000000017,1,0.14285714285714285,5,time
22,0.09649122807017543,0.6696602857142857,0.04716563541374404,2.3251543493775517,0.006213999999999942,0.05406099999999969,2,0.09523809523809523,1,perf_time
8,0.049689440993788817,1.6061697142857143,0.11330885769902169,3.7284243701099693,0.022246999999999684,0.22647850000000047,1,0.14285714285714285,2,perf_time
9,0.08823529411764706,1.4256458749999998,0.09998294923377625,3.545961887206786,0.03933399999999998,0.13750899999999944,1,0.125,3,perf_time
11,0.13414634146341464,1.1318392,0.0797690541041406,3.1973583356024955,0.022189000000000014,0.06333900000000037,1,0.1,4,perf_time
7,0.10144927536231885,1.8259830000000001,0.13139588560104284,3.996758397556824,0.012481999999999882,0.12565250000000028,1,0.16666666666666666,5,perf_time
28,0.13333333333333333,1521367412.6666667,0.029191706176708104,7691579388.181163,794328.0,3653946.0,1,0.037037037037037035,1,perf_instructions
22,0.12790697674418605,1954588929.0,0.03750484025936962,8673849040.414015,356010.0,1678500.5,1,0.047619047619047616,2,perf_instructions
20,0.16129032258064516,2146430757.0,0.04118642357828504,9097808860.631851,255136.0,1744368.1666679382,1,0.05263157894736842,3,perf_instructions
11,0.14285714285714285,4077857663.5,0.0782505810212975,12222910327.820255,1018396.75,7287756.125,1,0.1,4,perf_instructions
9,0.13043478260869565,5097484819.724999,0.09781396365580307,13473445733.921675,2776346.0000009537,10286695.750002384,1,0.125,5,perf_instructions
20,0.0847457627118644,2712904689.6842103,0.05213135812877658,9182767247.708975,32568122.0,74666693.5,2,0.10526315789473684,1,perf_cycles
16,0.10457516339869281,2756948802.9,0.053152931719413,9910306237.671495,54210273.0,148353178.0,1,0.06666666666666667,2,perf_cycles
13,0.12871287128712872,3490429907.722223,0.0665375812514018,11134851275.296652,62767770.83333397,83212360.16666698,1,0.08333333333333333,3,perf_cycles
12,0.16216216216216217,3764961189.3636365,0.07220394279674419,11526394965.496162,37188154.75,168796215.875,1,0.09090909090909091,4,perf_cycles
9,0.1111111111111111,5139587504.425,0.09906042723038809,13367963410.394901,58882381.0,99133590.84999561,1,0.125,5,perf_cycles
18,0.13138686131386862,5222769.588235294,0.05395313271292063,6365360.565427567,2370486.0,5351376.0,3,0.17647058823529413,1,perf_cache_references
11,0.08270676691729323,9645475.9,0.09209365916553322,22789942.507072672,1082377.5,4270047.5,1,0.1,2,perf_cache_references
9,0.08411214953271028,10707877.41666675,0.11256251169013694,24509937.576367527,968759.4999995008,2853571.7500002496,1,0.125,3,perf_cache_references
13,0.1111111111111111,7672381.145833333,0.07585883376142784,21794271.68434213,503540.125,833185.6875,1,0.08333333333333333,4,perf_cache_references
2,0.08,223874.79999999702,0.0023801819432583875,0.0,223874.79999999702,0.0,0,0.0,5,perf_cache_references
18,0.06818181818181818,23025.470588235294,0.04251096786076866,48188.26552805232,6712.0,10669.0,2,0.11764705882352941,1,perf_cache_misses
14,0.13333333333333333,24718.653846153848,0.044829628786385425,46810.0339253425,7072.0,11919.5,2,0.15384615384615385,2,perf_cache_misses
8,0.08421052631578947,37678.23809528571,0.07256383289366601,65845.83095072398,3532.6666670000122,27649.666666499994,1,0.14285714285714285,3,perf_cache_misses
9,0.10843373493975904,49827.0625,0.07736379702722604,69644.55112544587,14090.5,44118.0,2,0.25,4,perf_cache_misses
6,0.08333333333333333,72909.99999999999,0.11934611880397869,87001.41689365753,6851.799999999988,150048.39999999994,2,0.4,5,perf_cache_misses
15,0.09933774834437085,485454829.35714287,0.05622056640811677,1161638700.20142,213076.0,39652930.25,2,0.14285714285714285,1,perf_branches
21,0.14893617021276595,340843827.125,0.039468253967520135,1468692868.8468513,85219.5,742709.625,1,0.05,2,perf_branches
16,0.1553398058252427,453180818.2222222,0.052473940839917424,1680976158.1302083,205527.0,663626.1666660309,1,0.06666666666666667,3,perf_branches
11,0.12790697674418605,675409604.4,0.07820326027951637,2022558163.9682207,282781.25,816281.1875,1,0.1,4,perf_branches
14,0.18421052631578946,522924824.53846157,0.06055130830404181,1795500417.1610527,74014.40000009537,959737.4000000954,1,0.07692307692307693,5,perf_branches
21,0.1076923076923077,53634008.95,0.04959399319363474,187967559.20500422,78028.0,365577.25,2,0.1,1,perf_branch_misses
16,0.13114754098360656,57609708.86666667,0.05326874081677754,211472588.4249932,106570.5,585725.5,1,0.06666666666666667,2,perf_branch_misses
6,0.12244897959183673,64810587.0666666,0.05994193972045641,128650481.41044676,503429.0,918087.0,1,0.2,3,perf_branch_misses
12,0.13953488372093023,77553155.38636364,0.0716944009125229,243863875.85800952,425595.5,767409.5,1,0.09090909090909091,4,perf_branch_misses
7,0.1111111111111111,142047399.1,0.1313422206908169,316150588.7733957,725892.3999999911,821125.6000000164,1,0.16666666666666666,5,perf_branch_misses
8,0.052980132450331126,6.0,0.13953488372093023,6.4142698058981855,4.0,4.0,1,0.14285714285714285,1,perf_cpu_clock
5,0.09433962264150944,6.5,0.20634920634920634,5.44288526426931,5.25,8.25,1,0.25,2,perf_cpu_clock
5,0.11363636363636363,21.16666675,0.23605947960572685,11.617754746985804,20.0,9.16666725,1,0.25,3,perf_cpu_clock
2,0.06451612903225806,3.75,0.12,0.0,3.75,0.0,0,0.0,4,perf_cpu_clock
2,0.07692307692307693,5.199999999999996,0.15384615384615374,0.0,5.199999999999996,0.0,0,0.0,5,perf_cpu_clock
2,0.02247191011235955,2.0,0.6666666666666666,0.0,2.0,0.0,0,0.0,1,perf_task_clock
4,0.07407407407407407,19.666666666666668,0.30971128608923887,11.264496832477201,25.0,13.0,1,0.3333333333333333,2,perf_task_clock
2,0.05714285714285714,31.999999999999996,0.7007299218924823,0.0,31.999999999999996,0.0,0,0.0,3,perf_task_clock
4,0.11428571428571428,15.5,0.2366412213740458,5.029082089871538,16.25,6.125,0,0.0,4,perf_task_clock
3,0.05660377358490566,12.0,0.24691358024691357,3.200000000000003,12.0,3.200000000000003,0,0.0,5,perf_task_clock
19,0.14728682170542637,60.666666666666664,0.010810168686148728,87.80091115700337,26.5,52.25,3,0.16666666666666666,1,perf_faults
21,0.14685314685314685,59.55,0.010558510638297871,137.7543012032655,6.0,16.0,3,0.15,2,perf_faults
11,0.13414634146341464,62.13333329999996,0.011038076621069455,142.6130895396818,13.500000500000624,27.500000250000312,1,0.1,3,perf_faults
12,0.16901408450704225,55.34090909090909,0.00984888932032552,130.31261680732817,14.5,17.375,1,0.09090909090909091,4,perf_faults
12,0.1875,55.8545454545455,0.00993570254990492,140.32082955360394,12.800000000000182,13.400000000000091,1,0.09090909090909091,5,perf_faults
6,0.037037037037037035,11698255.358,0.1558047777860542,11898189.206370363,2843929.4349999875,19924869.371000007,2,0.4,1,weights
9,0.06428571428571428,7153892.112500001,0.08941913355817846,8011498.912071084,4284555.709250001,7164150.513875002,2,0.25,2,weights
7,0.06930693069306931,13110844.708389,0.13048312701303258,17141280.929289937,5816617.241833001,6096560.995415758,1,0.16666666666666666,3,weights
12,0.15789473684210525,8403836.549954545,0.07003559769374523,10311077.22097704,4594135.557250008,6119925.794499995,2,0.18181818181818182,4,weights
6,0.0821917808219178,20679902.24732,0.15430752628684077,21495850.236158784,8128690.380199999,30855093.5576,2,0.4,5,weights
20,0.09615384615384616,33028830.315789472,0.052180667368949066,82838685.70817202,577408.0,10022187.0,3,0.15789473684210525,1,energy
15,0.15151515151515152,40145095.5,0.06156544392194105,99566958.11619096,488202.25,921041.5,2,0.14285714285714285,2,energy
19,0.27941176470588236,30719117.629629664,0.0477436453388385,86474863.90966468,461735.5,3188275.1666662656,2,0.1111111111111111,3,energy
12,0.22641509433962265,50503754.95454545,0.07791781325833728,103519271.72015253,728794.75,22180106.375,2,0.18181818181818182,4,energy
9,0.14754098360655737,61484170.475,0.10519428772285878,116033750.70007682,1383998.2999999821,36699865.04999998,2,0.25,5,energy
20,0.09345794392523364,604477626.5789474,0.041620900772451105,2528628644.0870094,768482.0,6387632.0,1,0.05263157894736842,1,perf_L1_dcache_loads
17,0.1118421052631579,713799567.53125,0.049143742296673495,2742627200.737162,145551.0,945442.625,1,0.0625,2,perf_L1_dcache_loads
13,0.12264150943396226,945648203.6666666,0.06510396121819818,3132201929.3268504,568398.8333334923,1188086.9166667461,1,0.08333333333333333,3,perf_L1_dcache_loads
11,0.12790697674418605,1134527889.025,0.07811358472850052,3399823530.9346595,195320.625,1148288.125,1,0.1,4,perf_L1_dcache_loads
4,0.15384615384615385,726605.3333333334,5.003137609155052e-05,794491.8452812698,306319.1999988556,902411.0000009537,1,0.3333333333333333,5,perf_L1_dcache_loads
