item_name_orig,mean_median_execution_time,rank
perf_time,2.06025708519999,1.0
perf_cycles,2.0641054472000064,2.0
energy,2.1150944448000075,3.0
perf_cache_misses,2.121799817399983,4.0
perf_branches,2.470832031599991,5.0
perf_instructions,2.4995165707999774,6.0
time,2.546727672200018,7.0
perf_faults,2.588739490799992,8.0
weights,2.6516553215999807,9.0
perf_branch_misses,3.228812990200004,10.0
perf_L1_dcache_loads,4.326796101600007,11.0
perf_cache_references,4.387959455999981,12.0
perf_task_clock,9.652286766200012,13.0
perf_cpu_clock,9.714290135599985,14.0
original,13.631787447026,15.0
