item_name,rank_median_execution_time,median_execution_time
perf_time_1,1.0,0.3341849619999948
perf_cache_misses_1,2.0,0.33815683000000263
perf_cycles_1,3.0,0.3386839180000152
energy_1,4.0,0.344590697000001
perf_branch_misses_1,5.0,0.34484998300001735
perf_faults_2,6.0,0.3812296300000071
perf_branches_2,7.0,2.3167104069999596
perf_instructions_2,8.0,2.410416820999899
perf_cycles_2,9.0,2.4267328109999937
perf_branch_misses_2,10.0,2.4376243469999963
perf_L1_dcache_loads_1,11.0,2.4500559629999543
perf_time_3,12.0,2.4609794849999957
perf_time_4,13.0,2.463972257000009
time_2,14.0,2.464544825999951
time_4,15.0,2.4713496050000003
time_5,16.0,2.4723505460000297
perf_branches_1,17.0,2.478572148000012
perf_cycles_3,18.0,2.480465102000011
perf_branches_3,19.0,2.4813377950000017
time_3,20.0,2.493586280000045
energy_3,21.0,2.494308967000052
perf_instructions_5,22.0,2.4982225690000064
perf_instructions_4,23.0,2.504553345999966
perf_cache_references_3,24.0,2.509087937000004
perf_time_5,25.0,2.5109438259999592
energy_4,26.0,2.521818345000014
perf_instructions_3,27.0,2.5267822639999906
perf_branches_4,28.0,2.529141708999987
weights_2,29.0,2.530966884999998
perf_time_2,30.0,2.5312048959999913
perf_task_clock_5,31.0,2.5339106639999613
perf_cache_references_4,32.0,2.534212583999988
perf_cycles_5,33.0,2.53680946999998
perf_cycles_4,34.0,2.5378359350000324
energy_2,35.0,2.542532907000009
weights_4,36.0,2.54513547800002
perf_L1_dcache_loads_4,37.0,2.5451896480000187
perf_cache_misses_4,38.0,2.5461539780000066
perf_L1_dcache_loads_3,39.0,2.548142817999974
perf_branches_5,40.0,2.5483980989999964
perf_cache_misses_3,41.0,2.555363492999959
perf_instructions_1,42.0,2.5576078540000253
perf_cache_misses_5,43.0,2.5624804969999673
perf_L1_dcache_loads_2,44.0,2.565241866000065
perf_branch_misses_5,45.0,2.5754382549999946
perf_branch_misses_4,46.0,2.587499969000021
perf_cache_references_2,47.0,2.5878190420000067
perf_cache_misses_2,48.0,2.60684428899998
perf_faults_4,49.0,2.6415836169999807
energy_5,50.0,2.672221307999962
perf_faults_3,51.0,2.6888067410000076
perf_faults_5,52.0,2.7033371139999645
weights_3,53.0,2.7066624859999138
weights_5,54.0,2.7257510779999734
weights_1,55.0,2.749760680999998
perf_cache_references_1,56.0,2.816382798999939
time_1,57.0,2.831807104000063
perf_cpu_clock_1,58.0,3.099151055000007
perf_faults_1,59.0,4.528740352
perf_branch_misses_3,60.0,8.19865239699999
perf_cpu_clock_2,61.0,11.287795090999992
perf_task_clock_4,62.0,11.350150005000046
perf_cpu_clock_4,63.0,11.37770625600001
perf_cpu_clock_3,64.0,11.400997676000003
perf_cpu_clock_5,65.0,11.405800599999907
perf_task_clock_2,66.0,11.454168428000003
perf_task_clock_3,67.0,11.460263556000001
perf_task_clock_1,68.0,11.462941178000051
perf_cache_references_5,69.0,11.49229491799997
perf_L1_dcache_loads_5,70.0,11.525350213000024
original,71.0,13.631787447026
