item_name,rank_new_highs,new_highs
perf_cpu_clock_4,1.0,2
perf_task_clock_2,1.0,2
perf_task_clock_3,1.0,2
perf_task_clock_4,1.0,2
perf_task_clock_5,1.0,2
perf_cache_references_5,1.0,2
perf_cpu_clock_5,1.0,2
perf_L1_dcache_loads_5,2.0,3
perf_cpu_clock_3,2.0,3
perf_cache_misses_5,3.0,4
weights_5,3.0,4
perf_cpu_clock_2,4.0,5
weights_1,4.0,5
perf_task_clock_1,4.0,5
perf_time_5,4.0,5
weights_3,5.0,6
perf_branch_misses_5,5.0,6
time_5,5.0,6
perf_time_2,5.0,6
perf_instructions_5,6.0,7
time_3,6.0,7
perf_cpu_clock_1,6.0,7
perf_cycles_5,6.0,7
energy_5,6.0,7
perf_time_3,6.0,7
perf_cache_misses_3,6.0,7
perf_cache_misses_4,6.0,7
time_4,7.0,8
perf_branch_misses_3,7.0,8
perf_cache_references_3,7.0,8
perf_faults_3,8.0,9
perf_branches_4,8.0,9
perf_L1_dcache_loads_4,8.0,9
weights_2,8.0,9
perf_time_4,8.0,9
perf_faults_5,9.0,10
energy_4,9.0,10
perf_cache_references_2,9.0,10
weights_4,9.0,10
perf_cycles_4,9.0,10
perf_faults_4,10.0,11
perf_cache_references_4,10.0,11
perf_branch_misses_4,10.0,11
perf_cycles_3,10.0,11
perf_L1_dcache_loads_3,10.0,11
perf_instructions_4,10.0,11
perf_branches_5,11.0,12
perf_cache_misses_2,11.0,12
energy_2,12.0,13
perf_branches_3,13.0,14
perf_cycles_2,13.0,14
time_2,14.0,15
perf_L1_dcache_loads_2,14.0,15
perf_branches_1,15.0,16
perf_branch_misses_2,15.0,16
perf_cache_misses_1,16.0,17
perf_instructions_3,17.0,18
energy_3,17.0,18
time_1,17.0,18
perf_faults_2,18.0,19
perf_L1_dcache_loads_1,18.0,19
perf_faults_1,18.0,19
perf_cycles_1,18.0,19
perf_instructions_2,19.0,20
energy_1,19.0,20
perf_cache_references_1,19.0,20
perf_branches_2,19.0,20
perf_branch_misses_1,19.0,20
perf_time_1,20.0,21
perf_instructions_1,21.0,26
