total_decreases,proportion_of_decreases,average_decrease_per_step,average_decrease_percentage_per_step,std_deviation_of_decreases,median_decrease,iqr_decrease,number_of_large_decreases,proportion_of_large_decreases,number_of_retries,item_name
20,0.02237136465324385,0.6187842105263158,0.04491364069087447,2.0678017122852084,0.007600000000000051,0.07965,1,0.05263157894736842,1,time
11,0.02570093457943925,1.20831,0.08580284610577743,2.7667593033908826,0.013449999999999962,0.7087499999999992,1,0.1,2,time
18,0.0694980694980695,0.6884058823529412,0.05006806714132553,2.0776758167185667,0.026000000000001577,0.2195999999999998,1,0.058823529411764705,3,time
22,0.13664596273291926,0.5718238095238095,0.041140475385365416,1.987020241923584,0.021399999999999864,0.059600000000000763,2,0.09523809523809523,4,time
14,0.09271523178807947,0.9335384615384614,0.06717118856362914,2.4780307626880664,0.021199999999999886,0.4376000000000002,1,0.07692307692307693,5,time
20,0.02032520325203252,0.6404252105263158,0.046037333666761326,2.089245319296888,0.007795999999999914,0.12416899999999997,2,0.10526315789473684,1,perf_time
25,0.06009615384615385,0.50672725,0.036049313691272546,1.8784244687353517,0.013237499999999902,0.07233050000000002,3,0.125,2,perf_time
15,0.05928853754940711,0.8665696428571429,0.06237456039777324,2.400797508257311,0.012858999999999954,0.40614725000000007,1,0.07142857142857142,3,perf_time
14,0.08383233532934131,0.9043712307692308,0.06519459199057306,2.474737991729759,0.012090000000000156,0.17166199999999998,1,0.07692307692307693,4,perf_time
16,0.11940298507462686,0.7758204666666667,0.05603936568886886,2.339604225732716,0.010155000000000136,0.12599550000000015,1,0.06666666666666667,5,perf_time
22,0.03038674033149171,2121515331.9047618,0.04070845938614629,7555647075.05889,1981205.0,89587131.0,3,0.14285714285714285,1,perf_instructions
33,0.09269662921348315,1404330679.140625,0.02694560535632992,6197246261.487708,1179120.5,134260678.125,3,0.09375,2,perf_instructions
18,0.072,2604686962.3921566,0.049977490578917046,8318296872.132094,2664413.0,664705036.666667,1,0.058823529411764705,3,perf_instructions
22,0.12941176470588237,2087612231.7738094,0.040057072555520684,7560308928.6880245,767635.25,17906482.75,3,0.14285714285714285,4,perf_instructions
19,0.17117117117117117,2459877636.7333336,0.0472003958883603,8106235909.5352955,2004037.799999237,540982501.8000007,1,0.05555555555555555,5,perf_instructions
17,0.02176696542893726,2793524948.125,0.05369131962056868,8585872997.229468,25779517.5,487770573.0,2,0.125,1,perf_cycles
17,0.044854881266490766,2767628531.09375,0.05352098891534801,8463511883.95902,112997082.75,491059768.125,1,0.0625,2,perf_cycles
21,0.09090909090909091,2250931412.7,0.04286077934289004,7638562570.6756525,40096716.33333349,481249566.0000012,2,0.1,3,perf_cycles
14,0.08536585365853659,3447304369.75,0.06642005187635702,9227193064.288265,362411970.0,1103089823.0,1,0.07692307692307693,4,perf_cycles
15,0.10638297872340426,3163347820.2571425,0.06083770263595994,9000738078.217773,77557243.69999981,821490034.7500019,1,0.07142857142857142,5,perf_cycles
10,0.01017293997965412,8559290.222222222,0.09724542249337059,15760392.333055338,359455.0,3632562.0,2,0.2222222222222222,1,perf_cache_references
20,0.04914004914004914,4916635.605263158,0.047679366536627965,15602773.758430624,285508.5,574838.25,2,0.10526315789473684,2,perf_cache_references
10,0.04149377593360996,10296603.666666666,0.10041110423452827,20606549.517829366,864424.0,9478808.333333999,1,0.1111111111111111,3,perf_cache_references
13,0.0593607305936073,7335312.083333333,0.0748606503873094,18187014.876033273,1359999.625,4136846.1875,1,0.08333333333333333,4,perf_cache_references
12,0.0784313725490196,8550236.454545455,0.08277585454383798,19606521.51589681,648605.8000000007,4843320.2,1,0.09090909090909091,5,perf_cache_references
11,0.011122345803842264,42406.0,0.0638452273411623,49963.55643466546,24466.0,33894.5,2,0.2,1,perf_cache_misses
11,0.02558139534883721,25323.55,0.052060222684549406,51396.17124088622,10013.25,9576.75,1,0.1,2,perf_cache_misses
8,0.026490066225165563,31807.47619042857,0.06633716425314938,62784.65746627068,4580.666666999983,8793.833333000017,1,0.14285714285714285,3,perf_cache_misses
7,0.030434782608695653,42157.666666666664,0.08426220601244248,69110.12164619152,11295.25,15305.625,1,0.16666666666666666,4,perf_cache_misses
11,0.08396946564885496,23740.379999999997,0.04797697627016708,47389.494920663594,5677.5,12720.400000000001,1,0.1,5,perf_cache_misses
35,0.046419098143236075,215815509.17647058,0.024988560756949618,997749860.6820092,122567.0,409590.75,3,0.08823529411764706,1,perf_branches
13,0.03324808184143223,609350619.2916666,0.07055949737112534,1606654628.0723689,3991220.5,320278875.75,1,0.08333333333333333,2,perf_branches
22,0.09322033898305085,345964499.2539683,0.0400605565404537,1251248590.3119752,173659.33333396912,24117945.33333397,3,0.14285714285714285,3,perf_branches
22,0.1476510067114094,347419264.13095236,0.04022862642990612,1250838040.681938,264014.5,27846721.5,3,0.14285714285714285,4,perf_branches
11,0.09166666666666666,731159484.1200001,0.08466638036324806,1734480606.6140575,15605212.100000143,458354110.80000013,1,0.1,5,perf_branches
42,0.05570291777188329,23072603.82926829,0.021323297026618344,114292415.52080113,95600.0,2083890.0,3,0.07317073170731707,1,perf_branch_misses
25,0.06172839506172839,38907012.583333336,0.035988752999249286,147390626.13198102,77501.75,4373350.0,3,0.125,2,perf_branch_misses
19,0.0683453237410072,51185666.648148164,0.04733654081709841,168338933.2563728,84973.66666698456,11052167.916666754,2,0.1111111111111111,3,perf_branch_misses
11,0.05069124423963134,92588604.5,0.08562089426050866,217363076.18644226,1354678.625,59317244.0,1,0.1,4,perf_branch_misses
14,0.112,69925437.06153847,0.06466542548759345,194791979.19281006,188546.20000004768,19546595.00000003,1,0.07692307692307693,5,perf_branch_misses
2,0.00851063829787234,2.0,1.0,0.0,2.0,0.0,0,0.0,1,perf_cpu_clock
5,0.041666666666666664,3.5,0.16666666666666666,3.0,2.5,2.0,1,0.25,2,perf_cpu_clock
8,0.04819277108433735,3.285714285714285,0.08283313255722456,1.7766435755541734,3.0,1.3333330000000014,1,0.14285714285714285,3,perf_cpu_clock
4,0.06153846153846154,10.75,0.18777292576419213,11.75443178833697,4.25,13.25,1,0.3333333333333333,4,perf_cpu_clock
2,0.03389830508474576,20.400000000000002,0.41463414634146345,0.0,20.400000000000002,0.0,0,0.0,5,perf_cpu_clock
