item_name_orig,mean_median_execution_time,rank
perf_cache_misses,2.395527349301119,1.0
perf_faults,2.4000931164977373,2.0
perf_branch_misses,2.476570693202666,3.0
perf_L1_dcache_loads,2.4843687404005323,4.0
perf_cycles,2.486286765498517,5.0
energy,2.4919018470006997,6.0
perf_instructions,2.555756545600161,7.0
perf_time,2.568527177800388,8.0
perf_cache_references,2.612469817700185,9.0
time,2.702016746499794,10.0
perf_branches,2.7317435938006382,11.0
weights,3.95938892839913,12.0
perf_cpu_clock,10.465629225097654,13.0
original,13.657796404500004,14.0
perf_task_clock,17.511851927298995,15.0
