item_name,rank_median_execution_time,median_execution_time
perf_branch_misses_1,1.0,1.806155440499424
perf_instructions_5,2.0,2.075956516498991
perf_faults_4,3.0,2.0779771134984912
perf_cache_misses_1,4.0,2.0807252154991147
time_3,5.0,2.0810966854996877
perf_faults_1,6.0,2.082754411996575
perf_L1_dcache_loads_4,7.0,2.083562862491817
perf_instructions_3,8.0,2.091613195500031
perf_L1_dcache_loads_3,9.0,2.0945536689978326
energy_4,10.0,2.097394306503702
perf_faults_2,11.0,2.100688970502233
perf_cycles_5,12.0,2.101507423998555
perf_branch_misses_3,13.0,2.103405408503022
perf_cache_references_2,14.0,2.1760622809961205
perf_time_1,15.0,2.2269417760007855
perf_cache_references_1,16.0,2.2463964450034837
perf_L1_dcache_loads_1,17.0,2.2922761645168066
perf_cycles_2,18.0,2.292468543499126
perf_time_4,19.0,2.3310779810017266
perf_cycles_3,20.0,2.336318981499062
perf_cache_misses_2,21.0,2.3378936190019886
energy_2,22.0,2.345341260006535
perf_cache_misses_3,23.0,2.3507451770019543
perf_cache_misses_5,24.0,2.359233736504393
weights_3,25.0,2.361440001994197
weights_4,26.0,2.3724076910002623
time_5,27.0,2.491313748999346
perf_time_3,28.0,2.5005914979992667
perf_cache_references_5,29.0,2.5220533319989045
perf_branch_misses_5,30.0,2.52958308300731
energy_3,31.0,2.5321828039886896
perf_branches_4,32.0,2.5456509750001715
perf_task_clock_3,33.0,2.6030795789920376
perf_instructions_1,34.0,2.606473640000331
perf_faults_5,35.0,2.6106962464982644
perf_cycles_1,36.0,2.6213741849969665
perf_branches_1,37.0,2.6249088594995555
energy_1,38.0,2.645341260006535
perf_time_5,39.0,2.717109860499477
time_2,40.0,2.7775939274997654
perf_branches_5,41.0,2.807681350997882
perf_branches_2,42.0,2.8102836219986784
perf_cache_references_4,43.0,2.8224764070000674
perf_branch_misses_4,44.0,2.8293395900036558
perf_L1_dcache_loads_5,45.0,2.835987752492656
energy_5,46.0,2.839249604498036
perf_cache_misses_4,47.0,2.849038998498145
perf_branches_3,48.0,2.8701931615069043
perf_instructions_4,49.0,2.9237404840005183
perf_time_2,50.0,3.0669147735006845
time_4,51.0,3.0783681875000184
perf_cycles_4,52.0,3.0797646934988734
perf_instructions_2,53.0,3.0809988920009346
time_1,54.0,3.0817111830001522
perf_branch_misses_2,55.0,3.114369943999918
perf_L1_dcache_loads_2,56.0,3.115463253503549
perf_faults_3,57.0,3.128348839993123
perf_cache_references_3,58.0,3.295360623502347
weights_1,59.0,3.3388899659985327
perf_cpu_clock_3,60.0,3.633393583499128
weights_5,61.0,5.132713954502833
weights_2,62.0,6.591493028499826
perf_cpu_clock_2,63.0,9.866194915492088
perf_cpu_clock_4,64.0,12.552092752499448
perf_cpu_clock_5,65.0,12.624604678996548
perf_task_clock_1,66.0,13.548352657002397
perf_cpu_clock_1,67.0,13.651860195001063
original,68.0,13.657796404500004
perf_task_clock_4,69.0,13.721818691999943
perf_task_clock_5,70.0,28.080177399002423
perf_task_clock_2,71.0,29.60583130949817
