item_name,rank_new_highs,new_highs
perf_cpu_clock_5,1.0,0
perf_cpu_clock_4,2.0,2
perf_task_clock_5,2.0,2
weights_2,3.0,3
perf_task_clock_4,3.0,3
weights_4,4.0,4
perf_cpu_clock_1,4.0,4
perf_task_clock_1,4.0,4
perf_cache_misses_4,5.0,5
weights_5,6.0,6
perf_cache_misses_3,6.0,6
perf_task_clock_2,7.0,7
perf_task_clock_3,7.0,7
perf_cpu_clock_2,7.0,7
perf_cpu_clock_3,7.0,7
perf_cache_references_3,8.0,8
weights_3,8.0,8
perf_branch_misses_4,9.0,9
perf_cache_misses_5,9.0,9
perf_cache_misses_2,9.0,9
perf_cache_misses_1,9.0,9
perf_branches_5,9.0,9
weights_1,9.0,9
time_2,9.0,9
perf_faults_4,9.0,9
perf_cache_references_1,9.0,9
perf_cache_references_5,10.0,10
perf_cache_references_4,11.0,11
perf_faults_1,11.0,11
perf_branches_2,11.0,11
perf_branch_misses_5,12.0,12
time_5,12.0,12
energy_3,12.0,12
perf_time_4,12.0,12
perf_faults_2,12.0,12
perf_cycles_4,12.0,12
perf_time_3,13.0,13
perf_faults_5,13.0,13
energy_5,13.0,13
perf_cycles_5,13.0,13
perf_time_5,14.0,14
perf_cycles_1,15.0,15
energy_4,15.0,15
perf_cycles_2,15.0,15
perf_L1_dcache_loads_5,16.0,16
perf_instructions_3,16.0,16
time_3,16.0,16
energy_2,17.0,17
perf_branch_misses_3,17.0,17
perf_instructions_5,17.0,17
energy_1,17.0,17
perf_time_1,18.0,18
time_1,18.0,18
perf_cache_references_2,18.0,18
perf_L1_dcache_loads_3,18.0,18
perf_cycles_3,19.0,19
perf_branches_3,20.0,20
perf_instructions_4,20.0,20
perf_branches_4,20.0,20
perf_L1_dcache_loads_4,20.0,20
perf_instructions_1,20.0,20
time_4,20.0,20
perf_branch_misses_2,21.0,23
perf_faults_3,21.0,23
perf_time_2,21.0,23
perf_L1_dcache_loads_1,22.0,26
perf_L1_dcache_loads_2,23.0,29
perf_instructions_2,24.0,31
perf_branches_1,25.0,33
perf_branch_misses_1,26.0,40
