item_name,number_of_steps,number_of_retries,percentage_decrease
time,1000,1,0
time,1000,2,0.0
time,786,3,21.4
time,457,4,54.300000000000004
time,412,5,58.8
perf_time,1000,1,0
perf_time,980,2,2.0
perf_time,624,3,37.6
perf_time,411,4,58.9
perf_time,399,5,60.099999999999994
perf_instructions,1000,1,0
perf_instructions,1000,2,0.0
perf_instructions,773,3,22.7
perf_instructions,573,4,42.699999999999996
perf_instructions,341,5,65.9
perf_cycles,1000,1,0
perf_cycles,1000,2,0.0
perf_cycles,629,3,37.1
perf_cycles,446,4,55.400000000000006
perf_cycles,394,5,60.6
perf_cache_references,1000,1,0
perf_cache_references,963,2,3.6999999999999997
perf_cache_references,754,3,24.6
perf_cache_references,520,4,48.0
perf_cache_references,362,5,63.800000000000004
perf_cache_misses,1000,1,0
perf_cache_misses,880,2,12.0
perf_cache_misses,551,3,44.9
perf_cache_misses,499,4,50.1
perf_cache_misses,397,5,60.3
perf_branches,1000,1,0
perf_branches,1000,2,0.0
perf_branches,723,3,27.700000000000003
perf_branches,476,4,52.400000000000006
perf_branches,365,5,63.5
perf_branch_misses,1000,1,0
perf_branch_misses,1000,2,0.0
perf_branch_misses,724,3,27.6
perf_branch_misses,547,4,45.300000000000004
perf_branch_misses,365,5,63.5
perf_cpu_clock,457,1,0
perf_cpu_clock,329,2,28.00875273522976
perf_cpu_clock,197,3,56.89277899343544
perf_cpu_clock,130,4,71.55361050328227
perf_cpu_clock,84,5,81.61925601750546
perf_task_clock,624,1,0
perf_task_clock,301,2,51.76282051282052
perf_task_clock,281,3,54.96794871794872
perf_task_clock,112,4,82.05128205128204
perf_task_clock,263,5,57.85256410256411
perf_faults,1000,1,0
perf_faults,791,2,20.9
perf_faults,793,3,20.7
perf_faults,367,4,63.3
perf_faults,379,5,62.1
weights,159,1,0
weights,58,2,63.52201257861635
weights,44,3,72.32704402515722
weights,31,4,80.50314465408806
weights,24,5,84.90566037735849
energy,175,1,0
energy,145,2,17.142857142857142
energy,72,3,58.857142857142854
energy,59,4,66.28571428571428
energy,40,5,77.14285714285715
perf_L1_dcache_loads,1000,1,0
perf_L1_dcache_loads,1000,2,0.0
perf_L1_dcache_loads,687,3,31.3
perf_L1_dcache_loads,595,4,40.5
perf_L1_dcache_loads,415,5,58.5
time,1000,1,0
time,1000,2,0.0
time,1000,3,0.0
time,179,4,82.1
time,1000,5,0.0
perf_time,1000,1,0
perf_time,1000,2,0.0
perf_time,1000,3,0.0
perf_time,1000,4,0.0
perf_time,92,5,90.8
perf_instructions,1000,1,0
perf_instructions,1000,2,0.0
perf_instructions,1000,3,0.0
perf_instructions,1000,4,0.0
perf_instructions,1000,5,0.0
perf_cycles,1000,1,0
perf_cycles,1000,2,0.0
perf_cycles,1000,3,0.0
perf_cycles,1000,4,0.0
perf_cycles,241,5,75.9
perf_cache_references,1000,1,0
perf_cache_references,1000,2,0.0
perf_cache_references,1000,3,0.0
perf_cache_references,158,4,84.2
perf_cache_references,113,5,88.7
perf_cache_misses,1000,1,0
perf_cache_misses,1000,2,0.0
perf_cache_misses,1000,3,0.0
perf_cache_misses,1000,4,0.0
perf_cache_misses,137,5,86.3
perf_branches,1000,1,0
perf_branches,1000,2,0.0
perf_branches,1000,3,0.0
perf_branches,1000,4,0.0
perf_branches,78,5,92.2
perf_branch_misses,1000,1,0
perf_branch_misses,1000,2,0.0
perf_branch_misses,162,3,83.8
perf_branch_misses,148,4,85.2
perf_branch_misses,93,5,90.7
perf_cpu_clock,1000,1,0
perf_cpu_clock,1000,2,0.0
perf_cpu_clock,1000,3,0.0
perf_cpu_clock,97,4,90.3
perf_cpu_clock,41,5,95.89999999999999
perf_task_clock,1000,1,0
perf_task_clock,1000,2,0.0
perf_task_clock,1000,3,0.0
perf_task_clock,50,4,95.0
perf_task_clock,150,5,85.0
perf_faults,203,1,0
perf_faults,110,2,45.812807881773395
perf_faults,70,3,65.51724137931035
perf_faults,55,4,72.9064039408867
perf_faults,49,5,75.86206896551724
weights,1000,1,0
weights,200,2,80.0
weights,74,3,92.60000000000001
weights,89,4,91.10000000000001
weights,59,5,94.1
energy,1000,1,0
energy,1000,2,0.0
energy,160,3,84.0
energy,1000,4,0.0
energy,1000,5,0.0
perf_L1_dcache_loads,1000,1,0
perf_L1_dcache_loads,1000,2,0.0
perf_L1_dcache_loads,1000,3,0.0
perf_L1_dcache_loads,108,4,89.2
perf_L1_dcache_loads,96,5,90.4
time,181,1,0
time,165,2,8.83977900552486
time,133,3,26.519337016574585
time,113,4,37.569060773480665
time,89,5,50.82872928176796
perf_time,200,1,0
perf_time,156,2,22.0
perf_time,126,3,37.0
perf_time,96,4,52.0
perf_time,92,5,54.0
perf_instructions,196,1,0
perf_instructions,153,2,21.93877551020408
perf_instructions,113,3,42.3469387755102
perf_instructions,106,4,45.91836734693878
perf_instructions,91,5,53.57142857142857
perf_cycles,199,1,0
perf_cycles,149,2,25.125628140703515
perf_cycles,105,3,47.23618090452261
perf_cycles,117,4,41.20603015075377
perf_cycles,88,5,55.778894472361806
perf_cache_references,196,1,0
perf_cache_references,159,2,18.877551020408163
perf_cache_references,127,3,35.204081632653065
perf_cache_references,131,4,33.16326530612245
perf_cache_references,86,5,56.12244897959183
perf_cache_misses,192,1,0
perf_cache_misses,171,2,10.9375
perf_cache_misses,107,3,44.27083333333333
perf_cache_misses,98,4,48.95833333333333
perf_cache_misses,81,5,57.8125
perf_branches,190,1,0
perf_branches,155,2,18.421052631578945
perf_branches,138,3,27.368421052631582
perf_branches,92,4,51.578947368421055
perf_branches,91,5,52.10526315789473
perf_branch_misses,184,1,0
perf_branch_misses,143,2,22.282608695652172
perf_branch_misses,122,3,33.69565217391305
perf_branch_misses,87,4,52.71739130434783
perf_branch_misses,82,5,55.434782608695656
perf_cpu_clock,212,1,0
perf_cpu_clock,159,2,25.0
perf_cpu_clock,139,3,34.43396226415094
perf_cpu_clock,128,4,39.62264150943396
perf_cpu_clock,111,5,47.64150943396226
perf_task_clock,201,1,0
perf_task_clock,149,2,25.870646766169152
perf_task_clock,134,3,33.33333333333333
perf_task_clock,117,4,41.7910447761194
perf_task_clock,113,5,43.78109452736319
perf_faults,197,1,0
perf_faults,154,2,21.82741116751269
perf_faults,136,3,30.96446700507614
perf_faults,107,4,45.68527918781726
perf_faults,111,5,43.65482233502538
weights,79,1,0
weights,36,2,54.43037974683544
weights,31,3,60.75949367088608
weights,27,4,65.82278481012658
weights,23,5,70.88607594936708
energy,158,1,0
energy,117,2,25.949367088607595
energy,86,3,45.56962025316456
energy,66,4,58.22784810126582
energy,61,5,61.39240506329114
perf_L1_dcache_loads,209,1,0
perf_L1_dcache_loads,155,2,25.837320574162682
perf_L1_dcache_loads,137,3,34.44976076555024
perf_L1_dcache_loads,109,4,47.84688995215311
perf_L1_dcache_loads,85,5,59.33014354066985
time,255,1,0
time,167,2,34.509803921568626
time,120,3,52.94117647058824
time,76,4,70.19607843137254
time,70,5,72.54901960784314
perf_time,354,1,0
perf_time,194,2,45.19774011299435
perf_time,127,3,64.12429378531074
perf_time,90,4,74.57627118644068
