total_decreases,proportion_of_decreases,average_decrease_per_step,average_decrease_percentage_per_step,std_deviation_of_decreases,median_decrease,iqr_decrease,number_of_large_decreases,proportion_of_large_decreases,number_of_retries,item_name
11,0.16923076923076924,0.15068,0.017219193893059984,0.199267407269729,0.05879999999999974,0.12489999999999957,2,0.2,1,time
6,0.11538461538461539,0.2960600000000001,0.03189683035618092,0.2390812966335929,0.1919000000000004,0.09960000000000058,1,0.2,2,time
10,0.19607843137254902,0.15064444444444447,0.016553425025487,0.19514502932213176,0.1383000000000001,0.14170000000000016,1,0.1111111111111111,3,time
7,0.17073170731707318,0.2530000000000001,0.02870759105866335,0.38166468267315523,0.09105000000000008,0.12254999999999971,1,0.16666666666666666,4,time
11,0.2682926829268293,0.18155000000000002,0.019765922700054436,0.3962819305746857,0.0461999999999998,0.04522499999999918,1,0.1,5,time
8,0.13333333333333333,0.23358342857142858,0.02580533931914903,0.21004345662665472,0.12398799999999977,0.2988759999999995,2,0.2857142857142857,1,perf_time
8,0.14814814814814814,0.21708385714285722,0.023344983444138722,0.24840902453380528,0.09473100000000123,0.20976149999999993,2,0.2857142857142857,2,perf_time
7,0.1346153846153846,0.2686046666666666,0.02943666981119944,0.2914221042569622,0.0796534999999996,0.4772700000000005,2,0.3333333333333333,3,perf_time
10,0.24390243902439024,0.13346911111111107,0.014472132432670422,0.12203131096061152,0.08422600000000102,0.04143099999999933,2,0.2222222222222222,4,perf_time
8,0.21052631578947367,0.15429199999999987,0.016934502880715966,0.19922394951841033,0.07657500000000006,0.11550800000000105,1,0.14285714285714285,5,perf_time
10,0.15873015873015872,1222486534.5555556,0.015893132694074205,773858439.3786095,1156990289.0,1108278467.0,3,0.3333333333333333,1,perf_instructions
11,0.2037037037037037,674585279.0,0.009242207970516758,753397639.0796353,394120825.5,641352857.625,2,0.2,2,perf_instructions
8,0.17777777777777778,865025699.5714296,0.011812209923271897,1107626071.54101,129819378.33333588,1428965060.3333282,2,0.2857142857142857,3,perf_instructions
8,0.19047619047619047,1107882228.4285715,0.014823480637255654,793606228.3060862,818284518.0,1165809971.75,2,0.2857142857142857,4,perf_instructions
7,0.19444444444444445,986490000.6999995,0.013403520037095985,1031813861.7656888,613452912.199997,471430072.200016,1,0.16666666666666666,5,perf_instructions
10,0.15873015873015872,1784070717.4444444,0.017467218482826504,1605810140.7716272,1460641024.0,1600017499.0,2,0.2222222222222222,1,perf_cycles
13,0.23214285714285715,1441664145.3333333,0.014327766774519525,2868073529.3080688,639108285.5,489321260.375,1,0.08333333333333333,2,perf_cycles
14,0.2978723404255319,1645924904.256411,0.015941749127535047,2151685155.665087,539463439.0,1161947053.6666718,3,0.23076923076923078,3,perf_cycles
7,0.1891891891891892,3163620526.2916665,0.0312295497423132,3064221584.095755,2398233659.75,1745785036.1875,1,0.16666666666666666,4,perf_cycles
12,0.2926829268292683,1764477336.527273,0.017431994080691942,1820571301.7162676,1351044660.4000092,1701667642.2000046,1,0.09090909090909091,5,perf_cycles
8,0.13333333333333333,19854455.0,0.019218905197010215,23495378.104081247,7196508.0,24742474.5,2,0.2857142857142857,1,perf_cache_references
6,0.12244897959183673,31394488.0,0.02988288473278019,14288121.68867003,32512255.0,17698845.0,1,0.2,2,perf_cache_references
9,0.19148936170212766,25916678.375,0.024214887881147267,36687150.022818096,7507614.0,23245102.666666746,2,0.25,3,perf_cache_references
7,0.19444444444444445,27716856.416666668,0.02579841754786184,19704321.971861154,26675814.375,30695082.9375,2,0.3333333333333333,4,perf_cache_references
6,0.16216216216216217,49463301.52,0.04764832194155306,42161590.586874604,24608790.600000024,78730993.80000007,2,0.4,5,perf_cache_references
8,0.13114754098360656,7036934.428571428,0.034663161754575005,5715007.675785318,5387459.0,7910910.5,2,0.2857142857142857,1,perf_cache_misses
6,0.1276595744680851,5718695.4,0.029584136651082404,6039744.545915658,3451765.5,2092570.5,1,0.2,2,perf_cache_misses
12,0.23076923076923078,3825420.6060606376,0.020091992119850306,4366715.188346925,2737949.3333329856,4267989.166666493,3,0.2727272727272727,3,perf_cache_misses
9,0.20454545454545456,3899532.875,0.02112946418429353,2967368.5338407895,3744842.625,3362057.5,2,0.25,4,perf_cache_misses
10,0.2631578947368421,4559509.711111112,0.023638117238911533,3139842.0126011665,3903787.599999994,4388436.799999982,2,0.2222222222222222,5,perf_cache_misses
9,0.1323529411764706,295101451.875,0.0207972993645791,213929202.61471185,263508849.0,173051105.0,1,0.125,1,perf_branches
7,0.125,286131789.1666667,0.021914283470078545,272888967.80493784,123124004.0,310574180.75,2,0.3333333333333333,2,perf_branches
5,0.125,212630253.6666665,0.015562782756308853,121536231.0314446,210178028.83333302,231248168.66666746,2,0.5,3,perf_branches
8,0.2,177483742.07142857,0.01300314706192306,123267769.55623129,121412061.75,131338620.0,1,0.14285714285714285,4,perf_branches
8,0.20512820512820512,160271599.6571429,0.011848372211480704,130362587.37976271,120322882.80000114,247549815.1999998,3,0.42857142857142855,5,perf_branches
6,0.1,13772188.6,0.020627154625971183,9716072.600565532,12726593.0,15119871.0,2,0.4,1,perf_branch_misses
10,0.18518518518518517,1653867.2222222222,0.002544346674552983,1753840.7923575446,986726.5,1516831.5,2,0.2222222222222222,2,perf_branch_misses
8,0.18604651162790697,9939759.095238004,0.014985259213476385,7536007.747805415,9560331.0,13081923.333333015,3,0.42857142857142855,3,perf_branch_misses
13,0.30952380952380953,4793748.416666667,0.007309859064169189,4461868.589890038,2670510.625,4055928.5,2,0.16666666666666666,4,perf_branch_misses
10,0.2702702702702703,6586686.466666672,0.010060728108498188,3987274.742073174,5927124.200000048,6264229.599999905,3,0.3333333333333333,5,perf_branch_misses
4,0.06666666666666667,32.0,0.32989690721649484,21.95449840010015,18.0,24.0,1,0.3333333333333333,1,perf_cpu_clock
5,0.1,20.375,0.21675531914893617,12.992185151082168,18.75,19.875,1,0.25,2,perf_cpu_clock
5,0.12195121951219512,8.66666675,0.1529411770415225,11.75443174579982,2.3333335,7.500000249999999,1,0.25,3,perf_cpu_clock
2,0.058823529411764705,13.5,0.4426229508196721,0.0,13.5,0.0,0,0.0,4,perf_cpu_clock
5,0.15151515151515152,10.75,0.17063492063492064,4.102133591193732,11.3,4.75,0,0.0,5,perf_cpu_clock
8,0.12698412698412698,10.0,0.13513513513513514,10.253919111386491,3.0,17.0,2,0.2857142857142857,1,perf_task_clock
7,0.12962962962962962,9.833333333333334,0.15012722646310434,6.128258770283412,12.0,9.625,1,0.16666666666666666,2,perf_task_clock
4,0.0975609756097561,10.777777666666667,0.22769952977253188,3.2697638114573717,10.999999999999996,3.999999500000003,0,0.0,3,perf_task_clock
4,0.1111111111111111,4.833333333333333,0.13151927437641722,1.9825628755617197,4.25,2.375,1,0.3333333333333333,4,perf_task_clock
5,0.14285714285714285,4.3500000000000005,0.08841463414634147,3.1380726569026423,3.6999999999999993,5.049999999999998,1,0.25,5,perf_task_clock
7,0.1206896551724138,4862.0,0.023756474152252516,2226.7239763083944,5352.0,3101.0,1,0.16666666666666666,1,perf_faults
6,0.125,5282.9,0.027365591119353116,4868.952180911207,2194.5,9021.5,2,0.4,2,perf_faults
5,0.12195121951219512,6410.25,0.03216522210370775,7117.450442535411,3111.5,6170.5833340000245,1,0.25,3,perf_faults
8,0.20512820512820512,2887.8214285714284,0.014651926373431231,4299.116216723847,1194.0,777.375,1,0.14285714285714285,4,perf_faults
9,0.20930232558139536,2649.149999999998,0.013292486382119523,4294.774967038435,904.4999999999854,1535.2999999999738,1,0.125,5,perf_faults
4,0.14285714285714285,43505522.12166667,0.03806502032506342,31800134.017082375,27235093.815000057,36308782.096000075,1,0.3333333333333333,1,weights
5,0.29411764705882354,87388850.246625,0.060114025280206665,101484723.59660946,32876480.969499946,75801939.49087518,1,0.25,2,weights
3,0.2727272727272727,107346105.5848335,0.08269653759946567,42180876.49050057,107346105.5848335,42180876.49050057,0,0.0,3,weights
5,0.5,35189167.519124985,0.027253717649433337,24815406.741499104,25918642.621875048,21624659.888750196,1,0.25,4,weights
2,0.2857142857142857,161223217.39859986,0.116646619535885,0.0,161223217.39859986,0.0,0,0.0,5,weights
5,0.10869565217391304,47915021.75,0.04712665756804083,51631977.126111746,24043816.0,36916077.75,1,0.25,1,energy
6,0.17647058823529413,38089720.3,0.03715785047697892,43838841.46137219,22177365.0,21120002.0,1,0.2,2,energy
8,0.25,26665895.833333287,0.02605747987895569,27369682.82115251,14726431.666666985,28973922.333333492,2,0.2857142857142857,3,energy
5,0.17857142857142858,50501654.125,0.04881115419969534,67482081.4006218,14351661.25,46238615.5,1,0.25,4,energy
9,0.36,23879101.900000006,0.023216761741851114,35592916.073420726,6587116.5,23308551.25,2,0.25,5,energy
6,0.11320754716981132,666379923.8,0.027346275886589194,244194815.32916182,771868372.0,365064438.0,1,0.2,1,perf_L1_dcache_loads
8,0.13559322033898305,591590269.5714285,0.025457307823903673,681165972.8389236,302248288.0,464049497.75,1,0.14285714285714285,2,perf_L1_dcache_loads
6,0.14285714285714285,346571675.6,0.014854963319798162,222968213.9229401,304389677.6666641,95886610.66666794,1,0.2,3,perf_L1_dcache_loads
7,0.1794871794871795,296734953.2916667,0.012951736730603906,243820369.3566467,248989781.625,266175858.8125,1,0.16666666666666666,4,perf_L1_dcache_loads
11,0.2972972972972973,242294560.25999984,0.010304947919963376,124825762.79201557,262248398.69999886,226348584.14999866,3,0.3,5,perf_L1_dcache_loads
