item_name,rank_median_execution_time,median_execution_time
original,1.0,8.07044096000027
time_4,2.0,8.210109837498749
perf_time_3,3.0,8.317183330014814
perf_time_1,4.0,8.331880293466384
time_5,5.0,8.355206695996458
time_1,6.0,8.42127614049241
perf_faults_2,7.0,8.460742875467986
perf_branches_2,8.0,8.511175056482898
perf_cache_references_5,9.0,8.547108008002397
perf_L1_dcache_loads_2,10.0,8.551373396534473
perf_time_2,11.0,8.574502236006083
perf_cycles_2,12.0,8.620749046007404
perf_L1_dcache_loads_3,13.0,8.686519466515165
perf_cache_references_2,14.0,8.721878930489765
time_3,15.0,8.739338878483977
perf_time_5,16.0,8.757861643505748
energy_4,17.0,8.774803754000459
perf_branch_misses_1,18.0,8.779564030992333
perf_time_4,19.0,8.79191516849096
weights_3,20.0,8.847477400995558
perf_L1_dcache_loads_4,21.0,8.877218478010036
perf_cache_references_3,22.0,8.888407794991508
perf_cycles_4,23.0,8.894439016497927
perf_branch_misses_4,24.0,8.90188854248845
perf_cache_misses_2,25.0,8.926195183506934
perf_instructions_4,26.0,8.928657604003092
perf_branches_1,27.0,8.940068144001998
perf_branch_misses_5,28.0,8.944769232010003
energy_1,29.0,8.946730161987944
perf_instructions_3,30.0,8.954258572979597
perf_faults_5,31.0,8.96432984250714
weights_5,32.0,8.969986305513885
perf_cycles_3,33.0,8.970849256002111
perf_faults_4,34.0,8.977832420991035
perf_instructions_1,35.0,8.983165605488466
perf_cpu_clock_1,36.0,8.986256598989712
weights_1,37.0,8.990635233494686
weights_2,38.0,8.990658433031058
perf_task_clock_4,39.0,8.992011229507625
perf_cache_misses_3,40.0,8.995119155471912
energy_5,41.0,8.995474883471616
perf_L1_dcache_loads_5,42.0,8.997241922508692
perf_branch_misses_2,43.0,8.999701046006521
perf_cache_misses_5,44.0,9.009117955487454
perf_faults_3,45.0,9.016346472519217
perf_task_clock_5,46.0,9.016460391983856
perf_cycles_5,47.0,9.01752281447989
perf_cpu_clock_2,48.0,9.02011083101388
perf_branches_4,49.0,9.023982911981875
perf_task_clock_2,50.0,9.0311287495133
perf_cpu_clock_3,51.0,9.031741648504976
perf_instructions_5,52.0,9.034418232506141
perf_cycles_1,53.0,9.042488934006542
perf_instructions_2,54.0,9.04370956850471
perf_branch_misses_3,55.0,9.045955710462295
perf_branches_5,56.0,9.053864908986725
perf_cache_misses_4,57.0,9.054699031985365
time_2,58.0,9.05799534599646
perf_task_clock_3,59.0,9.059250809979858
energy_2,60.0,9.114447911997559
perf_cpu_clock_4,61.0,9.11718555202242
perf_faults_1,62.0,9.15806205451372
perf_task_clock_1,63.0,9.170163633505581
weights_4,64.0,9.175644303992158
energy_3,65.0,9.20034968201071
perf_cache_references_1,66.0,9.203084485488944
perf_cache_references_4,67.0,9.238324747479055
perf_L1_dcache_loads_1,68.0,9.23841929199989
perf_cpu_clock_5,69.0,9.258131436479744
perf_branches_3,70.0,9.275217999034794
perf_cache_misses_1,71.0,9.341033722972497
