total_decreases,proportion_of_decreases,average_decrease_per_step,average_decrease_percentage_per_step,std_deviation_of_decreases,median_decrease,iqr_decrease,number_of_large_decreases,proportion_of_large_decreases,number_of_retries,item_name
9,0.045454545454545456,0.0598749999999999,0.006229127870080409,0.06349267182124281,0.026949999999999363,0.061175000000000423,2,0.25,1,time
6,0.04054054054054054,0.22024000000000007,0.02144999805212514,0.2741324322293878,0.08949999999999925,0.03879999999999839,1,0.2,2,time
4,0.044444444444444446,0.4107666666666668,0.03937299708289002,0.35073638090293546,0.25950000000000095,0.40910000000000046,1,0.3333333333333333,3,time
8,0.11267605633802817,0.18754285714285704,0.017706921318307797,0.32108942171098337,0.03930000000000078,0.08430000000000071,1,0.14285714285714285,4,time
7,0.125,0.19996666666666663,0.019093724437993932,0.23795960208031583,0.05969999999999942,0.3208999999999991,2,0.3333333333333333,5,time
6,0.027777777777777776,0.2527628,0.023822623513223125,0.3415491623689925,0.12338199999999944,0.08811000000000035,1,0.2,1,perf_time
3,0.022556390977443608,0.5770629999999999,0.05468457269288042,0.35503900000000055,0.5770629999999999,0.35503900000000055,1,0.5,2,perf_time
8,0.10126582278481013,0.16849157142857127,0.015830880106472576,0.1727903052032867,0.11150400000000005,0.1497875000000004,1,0.14285714285714285,3,perf_time
7,0.09722222222222222,0.1665708333333331,0.015782427513505826,0.29408031928676476,0.032003500000000074,0.08431424999999937,1,0.16666666666666666,4,perf_time
7,0.1111111111111111,0.19577199999999984,0.018312364952715897,0.2074375040745208,0.09724300000000063,0.25308575000000033,2,0.3333333333333333,5,perf_time
4,0.017467248908296942,1677737561.6666667,0.019929601540885612,1136757724.3667798,1118764001.0,1305369145.0,1,0.3333333333333333,1,perf_instructions
3,0.0234375,1024838621.25,0.012366893687243039,741363675.25,1024838621.25,741363675.25,1,0.5,2,perf_instructions
6,0.06666666666666667,326065720.0666687,0.003951041452309806,306699344.96166325,124989623.0,494028959.6666565,2,0.4,3,perf_instructions
7,0.08974358974358974,240121963.625,0.0028994555955194263,112425749.98640336,244045036.375,151041955.5625,1,0.16666666666666666,4,perf_instructions
6,0.10344827586206896,408976586.8799988,0.004917557784363361,187633363.09614363,439833608.0,128327710.40000916,1,0.2,5,perf_instructions
13,0.07428571428571429,1379660711.8333333,0.011864522242486523,1923954556.6996891,695859910.5,829067012.75,2,0.16666666666666666,1,perf_cycles
7,0.05343511450381679,2356316088.25,0.02046632109536527,1991072171.3007138,2304108792.25,2136388803.25,1,0.16666666666666666,2,perf_cycles
7,0.07526881720430108,2547803448.388888,0.021924763074717555,3019370535.661157,1239178757.4999924,2777855990.3333282,1,0.16666666666666666,3,perf_cycles
5,0.06172839506172839,3047759275.9375,0.026753938458618582,1860493111.4986014,3651344453.75,2157339952.8125,1,0.25,4,perf_cycles
4,0.05714285714285714,4866688124.733333,0.041714441999509494,3337306321.2336454,2590582260.199997,3580632177.800003,1,0.3333333333333333,5,perf_cycles
10,0.05319148936170213,15783863.333333334,0.013311701159360563,17499905.495610554,7560347.0,21244634.0,2,0.2222222222222222,1,perf_cache_references
11,0.09821428571428571,16695915.45,0.013385432907301731,15725146.015776621,9274102.75,27230856.625,3,0.3,2,perf_cache_references
4,0.0449438202247191,37281311.666666664,0.03125249260701619,23979492.315080643,37196475.666666985,29368668.333333492,1,0.3333333333333333,3,perf_cache_references
6,0.08450704225352113,20767614.3,0.01734209218668606,36525718.44780022,2577809.5,6470222.25,1,0.2,4,perf_cache_references
8,0.13333333333333333,19559106.42857143,0.01589633440781498,25929056.337699197,8095845.0,17544138.400000095,2,0.2857142857142857,5,perf_cache_references
7,0.028225806451612902,6728933.0,0.031081384322751163,4823096.40807369,4452138.0,6854170.5,2,0.3333333333333333,1,perf_cache_misses
8,0.06153846153846154,4826321.428571428,0.022468015771093617,7169386.8235116135,1147093.5,4511998.0,2,0.2857142857142857,2,perf_cache_misses
5,0.054945054945054944,7260333.75,0.03427714963452043,6321326.593526275,5393386.0,4772007.416665971,1,0.25,3,perf_cache_misses
9,0.13432835820895522,4982072.15625,0.022581228390426984,4690098.499596597,3782818.0,2164714.5,1,0.125,4,perf_cache_misses
7,0.10606060606060606,5117060.066666667,0.023645080440301752,6187500.074734905,2357575.700000003,6502833.1000000015,2,0.3333333333333333,5,perf_cache_misses
7,0.030434782608695653,147603900.16666666,0.009499334104953506,158753563.05559075,85127637.0,64274174.5,1,0.16666666666666666,1,perf_branches
4,0.03076923076923077,290118201.6666667,0.018509176829984986,339268814.72750974,60978624.5,365070244.75,1,0.3333333333333333,2,perf_branches
5,0.053763440860215055,82631403.16666651,0.005429117573963841,49002305.39516096,78169913.5,73632177.33333349,1,0.25,3,perf_branches
2,0.02564102564102564,521991474.5,0.03386128768944174,0.0,521991474.5,0.0,0,0.0,4,perf_branches
3,0.04918032786885246,64591364.59999943,0.004280486293047863,34126199.80000019,64591364.59999943,34126199.80000019,1,0.5,5,perf_branches
7,0.030042918454935622,5002514.0,0.006737464232027087,2956974.7952401172,4522813.0,4359232.75,2,0.3333333333333333,1,perf_branch_misses
8,0.07142857142857142,3513043.714285714,0.00472261135182054,2571359.7277223896,3237677.0,4536177.5,2,0.2857142857142857,2,perf_branch_misses
4,0.04081632653061224,10690509.555555662,0.014197308337884138,2929988.509164551,10341647.0,3575747.499999523,0,0.0,3,perf_branch_misses
6,0.08955223880597014,7839323.85,0.010225734175695401,5851006.886654239,4549045.5,11137283.5,2,0.4,4,perf_branch_misses
6,0.1,6235440.55999999,0.008190240783303352,7065809.414196506,1725953.3999999762,6265359.400000095,1,0.2,5,perf_branch_misses
4,0.018867924528301886,8.666666666666666,0.3333333333333333,10.842303978193728,1.0,11.5,1,0.3333333333333333,1,perf_cpu_clock
3,0.022727272727272728,18.75,0.390625,11.25,18.75,11.25,1,0.5,2,perf_cpu_clock
6,0.06315789473684211,11.0666666,0.141880341025641,7.478561953863713,12.333333,14.333333000000003,2,0.4,3,perf_cpu_clock
4,0.05333333333333334,1.75,0.05555555555555555,1.5942605391424158,0.75,1.75,1,0.3333333333333333,4,perf_cpu_clock
3,0.047619047619047616,19.3,0.35090909090909095,1.5000000000000036,19.3,1.500000000000007,0,0.0,5,perf_cpu_clock
5,0.02100840336134454,21.75,0.2443820224719101,13.497684986693088,22.5,11.75,1,0.25,1,perf_task_clock
6,0.04477611940298507,16.4,0.1822222222222222,12.018319350058892,20.5,20.5,1,0.2,2,perf_task_clock
7,0.07291666666666667,7.055555666666666,0.11082024549308771,5.729768582791619,6.833333999999995,11.250000499999997,3,0.5,3,perf_task_clock
4,0.043478260869565216,11.75,0.2596685082872928,11.496376240653689,6.25,13.25,1,0.3333333333333333,4,perf_task_clock
3,0.04838709677419355,14.600000000000001,0.22955974842767296,13.0,14.600000000000001,13.0,1,0.5,5,perf_task_clock
3,0.011904761904761904,6233.0,0.030330014695434684,1314.0,6233.0,1314.0,0,0.0,1,perf_faults
5,0.03731343283582089,878.75,0.004339431170325451,499.2843002739021,1142.25,380.75,0,0.0,2,perf_faults
5,0.054945054945054944,1926.6666664999939,0.00938028452368175,1521.3579457287376,1478.3333335000061,2007.3333324999694,1,0.25,3,perf_faults
4,0.05333333333333334,1859.8333333333333,0.008975163272528392,939.0197533716861,2481.25,1016.375,0,0.0,4,perf_faults
3,0.047619047619047616,1276.800000000003,0.006289407313997492,942.4000000000087,1276.800000000003,942.4000000000087,1,0.5,5,perf_faults
2,0.07407407407407407,188498379.76049995,0.14812442761860783,0.0,188498379.76049995,0.0,0,0.0,2,weights
