item_name_orig,mean_median_execution_time,rank
weights,9.144071592704858,1.0
original,9.364733298003557,2.0
energy,10.321141580387717,3.0
perf_branch_misses,10.38265082280268,4.0
time,10.385526652395493,5.0
perf_cycles,10.395733673803624,6.0
perf_branches,10.401259971800027,7.0
perf_L1_dcache_loads,10.414007547008804,8.0
perf_cpu_clock,10.41966335781035,9.0
perf_cache_references,10.420352181597263,10.0
perf_cache_misses,10.434362035791855,11.0
perf_faults,10.436342679493828,12.0
perf_time,10.44175848189625,13.0
perf_instructions,10.442620319101843,14.0
perf_task_clock,10.44548777890741,15.0
