item_name,rank_median_execution_time,median_execution_time
weights_2,1.0,7.371164444019087
weights_4,2.0,7.378538595512509
original,3.0,9.364733298003557
time_1,4.0,10.244446750497445
energy_3,5.0,10.264514641516143
weights_5,6.0,10.279940170003101
perf_cache_misses_4,7.0,10.302037794986973
energy_4,8.0,10.303577734506689
weights_3,9.0,10.317055571009405
energy_2,10.0,10.320975214970531
perf_cpu_clock_5,11.0,10.321243899001274
perf_branch_misses_3,12.0,10.347798757022247
time_2,13.0,10.34859782049898
energy_1,14.0,10.35097521497053
perf_time_5,15.0,10.354545499489177
perf_branches_5,16.0,10.356387070001801
perf_time_3,17.0,10.357387151991134
perf_L1_dcache_loads_4,18.0,10.359109438519226
perf_branches_3,19.0,10.363176351995207
energy_5,20.0,10.365665095974691
perf_cache_references_4,21.0,10.367655426511192
perf_branches_4,22.0,10.368760468496475
perf_branch_misses_2,23.0,10.37352425249992
weights_1,24.0,10.373659182980191
perf_cycles_2,25.0,10.373943654005416
perf_branch_misses_4,26.0,10.37431798200123
perf_cycles_5,27.0,10.376820572491852
perf_branch_misses_5,28.0,10.376899096008856
perf_cache_misses_1,29.0,10.379440010496182
perf_faults_5,30.0,10.385142095008632
perf_L1_dcache_loads_5,31.0,10.38704965999932
perf_cycles_3,32.0,10.39196271399851
perf_branches_2,33.0,10.392225882504135
perf_L1_dcache_loads_2,34.0,10.396387199987657
perf_cycles_1,35.0,10.400133284012554
perf_instructions_3,36.0,10.402937412000028
perf_L1_dcache_loads_1,37.0,10.406672953511588
perf_cpu_clock_3,38.0,10.409470866521588
perf_time_2,39.0,10.411630354996305
perf_instructions_5,40.0,10.411694586509839
time_3,41.0,10.418088269492728
perf_cache_references_5,42.0,10.42267083650222
perf_faults_3,43.0,10.423035768500995
perf_task_clock_5,44.0,10.427271617489168
perf_cache_references_2,45.0,10.427325476979604
perf_cpu_clock_2,46.0,10.429942487506196
perf_instructions_4,47.0,10.431001831995673
perf_cpu_clock_1,48.0,10.431306778016733
perf_cache_references_1,49.0,10.435394496002118
perf_faults_4,50.0,10.435577676980756
perf_cycles_4,51.0,10.435808144509792
perf_instructions_2,52.0,10.436779989497154
perf_task_clock_3,53.0,10.440221312019276
perf_branch_misses_1,54.0,10.440714026481146
perf_faults_1,55.0,10.444265914498828
perf_cache_references_3,56.0,10.448714671991183
perf_task_clock_1,57.0,10.44880471000215
perf_task_clock_4,58.0,10.449963631021092
time_4,59.0,10.455480388001888
time_5,60.0,10.46102003348642
perf_task_clock_2,61.0,10.461177624005359
perf_cache_misses_2,62.0,10.478030032492825
perf_cache_misses_3,63.0,10.488672405990656
perf_faults_2,64.0,10.493691942479927
perf_cpu_clock_4,65.0,10.50635275800596
perf_time_4,66.0,10.517836789003923
perf_L1_dcache_loads_3,67.0,10.520818483026233
perf_cache_misses_5,68.0,10.523629934992641
perf_branches_1,69.0,10.525750086002517
perf_instructions_1,70.0,10.530687775506522
perf_time_1,71.0,10.56739261400071
