item_name,rank_new_highs,new_highs
perf_branches_4,1.0,0
weights_2,1.0,0
perf_L1_dcache_loads_1,2.0,1
perf_faults_1,2.0,1
perf_L1_dcache_loads_3,2.0,1
perf_L1_dcache_loads_2,2.0,1
perf_branches_2,3.0,2
perf_cpu_clock_1,3.0,2
weights_3,3.0,2
perf_cycles_5,3.0,2
perf_faults_4,3.0,2
energy_5,4.0,3
perf_cpu_clock_2,4.0,3
perf_cpu_clock_5,4.0,3
perf_task_clock_1,4.0,3
perf_task_clock_5,4.0,3
perf_cycles_4,4.0,3
perf_faults_2,4.0,3
weights_5,4.0,3
perf_time_2,4.0,3
weights_1,4.0,3
perf_L1_dcache_loads_4,4.0,3
weights_4,4.0,3
perf_branches_5,4.0,3
perf_faults_5,4.0,3
perf_faults_3,4.0,3
perf_instructions_2,4.0,3
perf_cpu_clock_4,5.0,4
perf_task_clock_2,5.0,4
perf_task_clock_4,5.0,4
perf_branch_misses_5,5.0,4
perf_branch_misses_4,5.0,4
perf_branch_misses_3,5.0,4
perf_cpu_clock_3,5.0,4
perf_L1_dcache_loads_5,5.0,4
perf_instructions_5,5.0,4
time_2,5.0,4
time_3,5.0,4
perf_time_1,5.0,4
perf_instructions_1,5.0,4
perf_cache_references_3,5.0,4
time_5,6.0,5
energy_4,6.0,5
perf_time_4,6.0,5
perf_time_5,6.0,5
perf_branches_3,6.0,5
perf_branch_misses_1,6.0,5
perf_branches_1,6.0,5
perf_cache_misses_3,6.0,5
perf_cache_misses_5,6.0,5
perf_cache_references_4,7.0,6
perf_instructions_3,7.0,6
perf_cache_references_5,7.0,6
perf_cache_misses_2,7.0,6
time_4,7.0,6
energy_3,7.0,6
perf_task_clock_3,8.0,7
perf_cycles_3,8.0,7
perf_cycles_2,8.0,7
perf_instructions_4,8.0,7
perf_cache_misses_1,8.0,7
perf_cache_misses_4,8.0,7
perf_branch_misses_2,9.0,8
perf_time_3,9.0,8
energy_1,9.0,8
energy_2,9.0,8
perf_cache_references_2,10.0,9
time_1,10.0,9
perf_cache_references_1,11.0,10
perf_cycles_1,12.0,11
