total_decreases,proportion_of_decreases,average_decrease_per_step,average_decrease_percentage_per_step,std_deviation_of_decreases,median_decrease,iqr_decrease,number_of_large_decreases,proportion_of_large_decreases,number_of_retries,item_name
13,0.058823529411764705,1.2868833333333336,0.0608665559901684,2.273738944570277,0.30595000000000017,0.7369000000000008,3,0.25,1,time
13,0.09154929577464789,1.460225,0.0623638669889727,1.9146571147009583,0.5027500000000007,1.6732500000000003,3,0.25,2,time
12,0.1188118811881188,1.4746454545454546,0.06647218110678921,2.0917757790337053,0.6577000000000002,1.4748500000000009,2,0.18181818181818182,3,time
13,0.21311475409836064,1.4088333333333332,0.06151949439461556,2.0841772134879077,0.48220000000000063,1.2375750000000008,3,0.25,4,time
9,0.16363636363636364,2.07,0.0918184036017654,2.102351496539054,1.3926500000000006,2.5948749999999987,2,0.25,5,time
12,0.0379746835443038,1.5787467272727271,0.06811741024955367,2.212171820018266,0.4980829999999994,1.4309304999999997,2,0.18181818181818182,1,perf_time
7,0.041916167664670656,2.540680666666667,0.12047115627094987,3.566733073071148,0.038220499999999547,5.272999249999999,2,0.3333333333333333,2,perf_time
8,0.07407407407407407,2.275151142857143,0.10332503970061721,2.647026831000041,1.2854030000000023,2.3139845000000006,2,0.2857142857142857,3,perf_time
5,0.06666666666666667,4.0353375,0.182761464605326,4.001474717027118,3.4700709999999995,7.146844999999999,2,0.5,4,perf_time
10,0.20408163265306123,1.8305273333333334,0.08079959432338174,2.304105574487853,1.0667219999999986,1.7795439999999996,2,0.2222222222222222,5,perf_time
13,0.04659498207885305,5169359686.666667,0.05817976064814909,6472006356.883225,1638649473.0,6790917282.0,2,0.16666666666666666,1,perf_instructions
12,0.07547169811320754,5123756855.409091,0.06141598065526999,6501858112.83734,2334442168.5,4931583533.0,3,0.2727272727272727,2,perf_instructions
12,0.1276595744680851,5119329544.212121,0.06101860553060723,7221983775.679096,1904444270.0,4554424769.333336,2,0.18181818181818182,3,perf_instructions
10,0.14705882352941177,5880087152.361111,0.0724389226693976,9164670391.035126,690022462.0,5452566600.0,2,0.2222222222222222,4,perf_instructions
7,0.15217391304347827,6247536301.999999,0.07499564748072052,8542657583.3006525,2864733585.699997,5252998510.400003,1,0.16666666666666666,5,perf_instructions
12,0.04897959183673469,6212009590.0,0.056305966678183154,7014765283.046964,2247198509.0,8445814571.5,3,0.2727272727272727,1,perf_cycles
12,0.08955223880597014,4932983640.909091,0.05077498627395199,7631732476.505916,2190067365.0,1720163062.75,2,0.18181818181818182,2,perf_cycles
10,0.10204081632653061,4906103243.481482,0.04751955482140949,8229199625.363246,1121234861.0,3139371451.0,1,0.1111111111111111,3,perf_cycles
5,0.06097560975609756,11529940706.3125,0.10907896540803495,9347542027.333588,8809076679.125,10369063938.5625,1,0.25,4,perf_cycles
12,0.26666666666666666,5459338800.963636,0.05265315263499659,8840392850.777597,1519306183.199997,4393905211.799999,2,0.18181818181818182,5,perf_cycles
11,0.044715447154471545,29347256.0,0.0660062533266551,42777318.82952133,16341548.5,19390386.75,1,0.1,1,perf_cache_references
7,0.050724637681159424,38863541.583333336,0.0830412451179311,44993189.412283644,17618006.0,57855914.375,2,0.3333333333333333,2,perf_cache_references
9,0.09278350515463918,23255521.541666627,0.05431982463706817,41307408.46103335,7920156.166666493,9693170.166666724,1,0.125,3,perf_cache_references
8,0.125,27240050.39285714,0.06253864998588818,31658452.691122327,5303002.25,39995300.375,2,0.2857142857142857,4,perf_cache_references
11,0.2,27310363.26,0.06319594551684127,33152742.305416707,8243398.699999988,30955237.85,3,0.3,5,perf_cache_references
