item_name_orig,mean_median_execution_time,rank
perf_time,6.180756496323738,1.0
time,6.2813693974050695,2.0
perf_instructions,7.190886310301721,3.0
perf_branches,7.976714552682824,4.0
perf_cycles,8.178628480399492,5.0
energy,8.816858415491879,6.0
perf_L1_dcache_loads,9.189105234527961,7.0
perf_cache_references,9.286031528981402,8.0
weights,10.258224451169372,9.0
perf_cache_misses,10.27513901029015,10.0
perf_branch_misses,10.279231868113857,11.0
perf_faults,14.316005441732704,12.0
perf_task_clock,15.749715787987224,13.0
perf_cpu_clock,16.686974082677626,14.0
original,21.916289181972388,15.0
