item_name,rank_median_execution_time,median_execution_time
perf_cycles_1,1.0,6.042400838516187
perf_time_5,2.0,6.094475788529962
perf_instructions_2,3.0,6.140613833034877
perf_time_1,4.0,6.153063123521861
perf_instructions_1,5.0,6.1542398650199175
perf_L1_dcache_loads_5,6.0,6.157279314473271
energy_4,7.0,6.161295786034316
perf_time_3,8.0,6.174753308005165
energy_3,9.0,6.190246179932728
time_2,10.0,6.194671445467975
perf_cycles_2,11.0,6.198953107057605
perf_L1_dcache_loads_3,12.0,6.2047852788819
perf_cycles_5,13.0,6.209879603004083
perf_time_4,14.0,6.2136503424844705
perf_instructions_3,15.0,6.224739335011691
time_3,16.0,6.24637258797884
perf_branch_misses_2,17.0,6.2607080155285075
time_4,18.0,6.26118646300165
perf_branches_3,19.0,6.262738096935209
perf_cache_references_5,20.0,6.267422044998966
perf_time_2,21.0,6.2678399190772325
perf_cache_references_1,22.0,6.271652147988789
perf_instructions_4,23.0,6.276117875997443
weights_3,24.0,6.287382236914709
perf_cache_misses_2,25.0,6.2925849735038355
perf_branches_4,26.0,6.296267398050986
perf_branches_2,27.0,6.3144845594652
time_5,28.0,6.335390061023645
time_1,29.0,6.369226429553237
perf_faults_1,30.0,6.80075488507282
perf_faults_2,31.0,7.813019279506989
energy_5,32.0,8.30799792893231
perf_branches_5,33.0,9.894829213502817
perf_L1_dcache_loads_1,34.0,9.966355813900009
perf_branch_misses_5,35.0,10.02177339605987
weights_4,36.0,10.208238434512168
perf_cache_misses_5,37.0,10.905591598013416
perf_branches_1,38.0,11.11525349545991
perf_instructions_5,39.0,11.158720642444678
perf_cycles_3,40.0,11.182470591447782
perf_branch_misses_3,41.0,11.216163759061601
perf_cache_references_4,42.0,11.231054910458624
perf_cache_references_3,43.0,11.251987223513424
perf_cycles_4,44.0,11.259438261971809
perf_cache_misses_3,45.0,11.26386934099719
perf_cache_misses_1,46.0,11.314747578464448
weights_5,47.0,11.398351661046036
perf_cache_references_2,48.0,11.408041317947209
perf_L1_dcache_loads_4,49.0,11.52682513743639
perf_branch_misses_4,50.0,11.569707423448563
perf_cache_misses_4,51.0,11.598901560471859
energy_1,52.0,11.605403651017696
weights_1,53.0,11.689896187395789
weights_2,54.0,11.707253735978156
energy_2,55.0,11.819348531542346
perf_L1_dcache_loads_2,56.0,12.090280627948232
perf_branch_misses_1,57.0,12.327806746470742
perf_faults_5,58.0,12.738132802536711
perf_task_clock_2,59.0,12.778000534046441
perf_cpu_clock_4,60.0,12.792329807532951
perf_task_clock_5,61.0,12.85510525398422
perf_task_clock_4,62.0,13.30214366945438
perf_cpu_clock_1,63.0,15.57708906987682
perf_cpu_clock_5,64.0,15.648458114941604
perf_cpu_clock_3,65.0,17.227819643565454
perf_task_clock_1,66.0,17.604511347948574
perf_faults_3,67.0,21.8848156115273
original,68.0,21.916289181972388
perf_cpu_clock_2,69.0,22.189173777471296
perf_task_clock_3,70.0,22.208818134502508
perf_faults_4,71.0,22.343304630019702
