item_name,rank_new_highs,new_highs
perf_task_clock_2,1.0,2
perf_cpu_clock_5,1.0,2
perf_cpu_clock_4,1.0,2
perf_cpu_clock_3,1.0,2
perf_cpu_clock_2,1.0,2
perf_task_clock_4,2.0,3
perf_cpu_clock_1,2.0,3
perf_task_clock_3,2.0,3
perf_L1_dcache_loads_2,3.0,4
perf_time_4,3.0,4
perf_cycles_4,3.0,4
perf_task_clock_1,4.0,5
perf_task_clock_5,4.0,5
perf_branch_misses_4,4.0,5
perf_faults_4,4.0,5
weights_1,4.0,5
weights_5,4.0,5
perf_faults_1,5.0,6
perf_instructions_5,5.0,6
weights_2,5.0,6
perf_cache_references_2,5.0,6
energy_5,5.0,6
perf_time_2,5.0,6
perf_cache_misses_4,5.0,6
perf_faults_3,6.0,7
perf_branch_misses_3,6.0,7
energy_2,6.0,7
perf_time_3,6.0,7
perf_cache_misses_1,6.0,7
perf_faults_5,6.0,7
perf_L1_dcache_loads_4,6.0,7
perf_cache_references_4,6.0,7
perf_cache_misses_3,6.0,7
perf_branch_misses_1,6.0,7
time_5,7.0,8
perf_L1_dcache_loads_1,7.0,8
weights_4,7.0,8
energy_1,7.0,8
perf_branches_1,7.0,8
perf_cache_references_3,7.0,8
weights_3,7.0,8
perf_branches_5,7.0,8
perf_time_5,8.0,9
perf_cache_misses_5,8.0,9
perf_instructions_4,8.0,9
perf_cycles_3,8.0,9
energy_4,9.0,10
perf_L1_dcache_loads_3,9.0,10
perf_faults_2,9.0,10
perf_L1_dcache_loads_5,9.0,10
perf_cache_references_5,9.0,10
perf_cache_references_1,9.0,10
perf_cycles_1,10.0,11
perf_branches_3,10.0,11
time_3,10.0,11
perf_cycles_5,10.0,11
perf_cycles_2,10.0,11
perf_time_1,10.0,11
perf_instructions_3,10.0,11
perf_instructions_2,10.0,11
time_2,11.0,12
time_4,11.0,12
perf_instructions_1,11.0,12
perf_branch_misses_2,11.0,12
perf_branch_misses_5,11.0,12
perf_cache_misses_2,11.0,12
perf_branches_2,11.0,12
perf_branches_4,11.0,12
energy_3,11.0,12
time_1,11.0,12
