Key,Median,IQR
perf_cache_references,0.03125,0.025721237400069513
perf_branch_misses,0.03296703296703297,0.018801410105757935
perf_cache_misses,0.03571428571428571,0.020263157894736844
perf_cycles,0.037037037037037035,0.037253983130271784
perf_L1_dcache_loads,0.04054054054054054,0.5683677444487729
perf_cpu_clock,0.043010752688172046,0.005503577325261418
perf_task_clock,0.05263157894736842,0.023510971786833854
weights,0.05660377358490566,0.043589743589743594
energy,0.075,0.4832968236582694
perf_faults,0.08163265306122448,0.06181181181181182
perf_instructions,0.1510791366906475,0.20548523206751057
perf_time,0.22289156626506024,0.24268554268554268
perf_branches,0.2634730538922156,0.4496951219512195
time,0.3120567375886525,0.36
