total_decreases,proportion_of_decreases,average_decrease_per_step,average_decrease_percentage_per_step,std_deviation_of_decreases,median_decrease,iqr_decrease,number_of_large_decreases,proportion_of_large_decreases,number_of_retries,item_name
4,0.042105263157894736,0.11716666666666657,0.0114404931617422,0.059142333024286384,0.15300000000000047,0.06545000000000023,0,0.0,1,time
6,0.1,0.04708000000000005,0.004559850458600088,0.05649330579812008,0.023800000000001376,0.052899999999997505,1,0.2,2,time
3,0.06666666666666667,0.011400000000000077,0.0011227102619657354,0.006399999999999295,0.011400000000000077,0.006399999999999295,1,0.5,3,time
3,0.09375,0.09839999999999982,0.009494678541447536,0.06139999999999901,0.09839999999999982,0.06139999999999901,1,0.5,5,time
2,0.022988505747126436,176890164.0,0.017174971435405115,0.0,176890164.0,0.0,0,0.0,1,perf_time
7,0.0958904109589041,66823534.25,0.006329673477576972,51775797.368379705,53544462.5,78182214.875,2,0.3333333333333333,2,perf_time
6,0.10344827586206896,31865441.6,0.003051112770661387,27498090.35044844,28725503.0,45063356.33333397,2,0.4,3,perf_time
4,0.10256410256410256,40980083.083333336,0.003950198728756957,16211093.570708709,43451428.5,19738760.625,0,0.0,4,perf_time
4,0.125,27329218.60000038,0.0026367633344629715,18389103.70328156,37693935.60000038,20655947.89999962,1,0.3333333333333333,5,perf_time
6,0.06382978723404255,337510396.2,0.0038615953449973556,191703487.65589228,378876130.0,131154826.0,1,0.2,1,perf_instructions
3,0.05172413793103448,533345270.75,0.006121007825178248,323551344.75,533345270.75,323551344.75,1,0.5,2,perf_instructions
3,0.06521739130434782,306820824.1666641,0.003524896880349491,64786387.50000763,306820824.1666641,64786387.50000763,0,0.0,3,perf_instructions
4,0.10526315789473684,359286259.0,0.0041028552012641415,130313400.20245016,330551567.75,157648696.625,0,0.0,4,perf_instructions
2,0.06451612903225806,55920721.3999939,0.0006409726428077763,0.0,55920721.3999939,0.0,0,0.0,5,perf_instructions
4,0.047058823529411764,1799784281.0,0.021409269956946076,2024206304.2481,708261424.0,2291844264.5,1,0.3333333333333333,1,perf_cycles
6,0.09836065573770492,871031083.9,0.010471477298783071,1036617016.462668,491270708.5,464706025.5,1,0.2,2,perf_cycles
5,0.10869565217391304,515544251.25,0.00635323760951894,359072476.37080264,378424909.8333435,304906970.25,1,0.25,3,perf_cycles
4,0.09090909090909091,417907944.75,0.00515320348766595,333402410.21001345,278235699.75,390005767.5,1,0.3333333333333333,4,perf_cycles
4,0.125,244510487.7333323,0.003018898868142962,252929668.34414765,101932430.0,284101652.1999893,1,0.3333333333333333,5,perf_cycles
