item_name_orig,mean_median_execution_time,rank
time,9.925004037399777,1.0
perf_L1_dcache_loads,9.927046802989206,2.0
perf_branches,9.94816302380059,3.0
perf_cache_misses,9.954867501719855,4.0
perf_cycles,10.243456876394339,5.0
perf_time,10.250065169855953,6.0
weights,10.25680577250477,7.0
perf_cache_references,10.264583430998027,8.0
perf_branch_misses,10.268887234176509,9.0
perf_cpu_clock,10.276226518442854,10.0
original,10.281700841034763,11.0
perf_task_clock,10.291734770406038,12.0
energy,10.292464201589116,13.0
perf_faults,10.304159049969167,14.0
perf_instructions,10.31431777626276,15.0
