item_name,rank_median_execution_time,median_execution_time
perf_cache_misses_4,1.0,8.595438644522801
perf_branches_5,2.0,8.611094523919746
time_4,3.0,8.615051298053004
perf_L1_dcache_loads_3,4.0,8.615171022946015
perf_cycles_5,5.0,10.181522082420997
weights_4,6.0,10.211135166967289
perf_time_1,7.0,10.215892508043908
perf_cpu_clock_1,8.0,10.225750320940278
perf_time_4,9.0,10.226875408086926
time_5,10.0,10.228400303982198
perf_time_5,11.0,10.234739508479834
perf_cycles_3,12.0,10.234934537555091
time_2,13.0,10.235272621968761
perf_cycles_1,14.0,10.241456128540449
perf_L1_dcache_loads_2,15.0,10.241522262920626
perf_L1_dcache_loads_5,16.0,10.242569971014746
perf_cache_references_3,17.0,10.24389576993417
perf_cache_references_2,18.0,10.246752310078591
perf_branch_misses_4,19.0,10.24682549352292
perf_branches_4,20.0,10.247470318572596
perf_branch_misses_3,21.0,10.249654036946595
weights_5,22.0,10.251135166967288
weights_1,23.0,10.251154038007371
perf_branch_misses_1,24.0,10.254020077874884
perf_L1_dcache_loads_4,25.0,10.256021026521921
perf_time_2,26.0,10.256459055119194
perf_cache_references_5,27.0,10.257851029979065
energy_3,28.0,10.259667385485955
perf_task_clock_3,29.0,10.262005653930828
perf_task_clock_5,30.0,10.264250295120291
time_1,31.0,10.265400417032652
perf_cache_references_4,32.0,10.265858603524975
weights_2,33.0,10.267738654627465
perf_cycles_2,34.0,10.270235454896465
perf_cpu_clock_4,35.0,10.272128853597678
perf_faults_5,36.0,10.274151387508027
perf_branches_2,37.0,10.277594254934229
perf_L1_dcache_loads_1,38.0,10.279949731542729
perf_faults_1,39.0,10.280823016888462
time_3,40.0,10.280895545962267
original,41.0,10.281700841034763
perf_branches_1,42.0,10.286181298084557
perf_cache_misses_2,43.0,10.286952012451366
perf_cycles_4,44.0,10.289136178558692
energy_2,45.0,10.289467016467825
perf_branch_misses_5,46.0,10.28961686952971
energy_5,47.0,10.291735106962733
perf_task_clock_1,48.0,10.291870842920616
perf_cpu_clock_3,49.0,10.29269901511725
perf_cache_misses_5,50.0,10.292804608587176
perf_instructions_4,51.0,10.293504556408152
perf_instructions_1,52.0,10.29445774690248
perf_faults_4,53.0,10.294768161489628
perf_cpu_clock_5,54.0,10.2949753170833
perf_cpu_clock_2,55.0,10.295579085475765
perf_instructions_2,56.0,10.296387057984248
perf_cache_misses_1,57.0,10.29872097237967
perf_cache_misses_3,58.0,10.300421270658262
energy_4,59.0,10.301984482561238
weights_3,60.0,10.302865835954435
perf_task_clock_2,61.0,10.30367889907211
perf_branch_misses_2,62.0,10.304319693008438
perf_cache_references_1,63.0,10.308559441473335
perf_time_3,64.0,10.3163593695499
perf_branches_3,65.0,10.318474723491818
energy_1,66.0,10.319467016467826
perf_faults_2,67.0,10.323743481887504
perf_instructions_3,68.0,10.3257931281114
perf_task_clock_4,69.0,10.336868160986342
perf_faults_3,70.0,10.34730920207221
perf_instructions_5,71.0,10.36144639190752
