total_decreases,proportion_of_decreases,average_decrease_per_step,average_decrease_percentage_per_step,std_deviation_of_decreases,median_decrease,iqr_decrease,number_of_large_decreases,proportion_of_large_decreases,number_of_retries,item_name
14,0.013986013986013986,0.6730615384615385,0.06536735800764704,1.4737430078328086,0.06149999999999989,0.23499999999999965,3,0.23076923076923078,1,time
19,0.01898101898101898,0.4868444444444445,0.047192226250406595,1.2884473999621155,0.040999999999999925,0.13465,3,0.16666666666666666,2,time
13,0.016518424396442185,0.7161,0.07006437978200888,1.1426990840403553,0.13990000000000014,0.5633500000000002,2,0.16666666666666666,3,time
17,0.03711790393013101,0.54729375,0.0532195367426121,1.0345775390641039,0.05884999999999996,0.47907500000000003,3,0.1875,4,time
13,0.031476997578692496,0.7246583333333333,0.07011081118560873,1.5287203878071434,0.043700000000000294,0.4806999999999999,3,0.25,5,time
18,0.017982017982017984,0.5408153529411764,0.0501068681095679,1.2731563079678576,0.021128000000000036,0.30219300000000104,3,0.17647058823529413,1,perf_time
14,0.014271151885830785,0.6736674615384615,0.06470953329161909,1.1147850420314303,0.08672999999999997,0.7604660000000001,3,0.23076923076923078,2,perf_time
21,0.0336,0.44951035,0.04265099075638154,1.2570969283574864,0.04048700000000005,0.08339399999999991,3,0.15,3,perf_time
17,0.0412621359223301,0.5474889374999999,0.05266603628075422,1.0611657243524375,0.03476349999999995,0.4840285000000003,3,0.1875,4,perf_time
16,0.04,0.5972381333333333,0.05677841057347033,1.3939276996065404,0.0647599999999997,0.15186499999999992,3,0.2,5,perf_time
18,0.017982017982017984,4550922980.529411,0.05130856576801493,10922078737.4288,80403233.0,1492983017.0,2,0.11764705882352941,1,perf_instructions
14,0.013986013986013986,5901976353.461538,0.06691833957741615,9710612652.445105,792634141.0,3859576239.0,3,0.23076923076923078,2,perf_instructions
16,0.020671834625323,5115710915.466666,0.05808560167387819,11511080966.483126,215437246.33333206,2184360998.333333,2,0.13333333333333333,3,perf_instructions
19,0.033101045296167246,4270846435.763889,0.04831253042229079,10668515227.023447,144549083.125,1102649018.375,3,0.16666666666666666,4,perf_instructions
12,0.03508771929824561,6929718597.818182,0.07900586782537967,10037612231.316586,1331370066.3999996,9009422526.800001,3,0.2727272727272727,5,perf_instructions
15,0.014985014985014986,4651219623.714286,0.05793851626758662,7426513524.262192,685546562.5,3858912764.75,3,0.21428571428571427,1,perf_cycles
20,0.01998001998001998,3474849622.105263,0.04254932702362857,8089564511.250824,197736482.0,1116872289.75,2,0.10526315789473684,2,perf_cycles
16,0.025396825396825397,4399790974.2,0.053788566961493846,7280658706.332243,985789531.3333321,3101154598.833338,3,0.2,3,perf_cycles
19,0.042505592841163314,3786967442.0833335,0.04575803328599155,8428448713.91076,547862810.75,1268637539.1875,2,0.1111111111111111,4,perf_cycles
17,0.043037974683544304,4084627081.2125,0.05047116837994799,6691087407.884477,664060418.5,3391764012.649998,4,0.25,5,perf_cycles
12,0.011988011988011988,38720122.0,0.06661088320963475,50947214.24875568,7312821.0,54730431.0,3,0.2727272727272727,1,perf_cache_references
12,0.012448132780082987,38643692.5,0.0663747905749325,55885542.17294375,9240934.5,52228685.25,3,0.2727272727272727,2,perf_cache_references
12,0.015894039735099338,38991679.93939391,0.06623375214882898,46734740.6686159,13409111.333332986,61337440.833332986,4,0.36363636363636365,3,perf_cache_references
15,0.028790786948176585,30462318.26785714,0.05193206796259589,44894323.146932125,5613186.75,50918854.875,4,0.2857142857142857,4,perf_cache_references
13,0.03581267217630854,35676477.400000006,0.060546862356539735,53371332.77219921,5845417.5,46947658.65000002,3,0.25,5,perf_cache_references
14,0.013986013986013986,7677515.846153846,0.06129146030344001,11778699.464132171,1839434.0,4027245.0,3,0.23076923076923078,1,perf_cache_misses
19,0.021566401816118047,5520883.75,0.04413101548991692,10028713.454997348,286249.75,3062119.375,4,0.2222222222222222,2,perf_cache_misses
21,0.03804347826086957,4965134.9166667,0.03965514023741152,10369741.284641003,260984.83333349973,2607868.58333325,3,0.15,3,perf_cache_misses
15,0.03,7094601.321428572,0.05698930264879272,10350672.728731802,1607046.75,8940158.9375,4,0.2857142857142857,4,perf_cache_misses
13,0.032663316582914576,8538956.166666666,0.06653522027095776,16215464.52804145,1201167.0000000056,3229552.6999999927,2,0.16666666666666666,5,perf_cache_misses
15,0.014985014985014986,1093202855.2857144,0.06276291238818486,2285438845.9931765,100750200.5,582773800.0,3,0.21428571428571427,1,perf_branches
16,0.015984015984015984,1002636261.9333333,0.0583082299396965,1776964762.3319337,78297758.5,760908071.0,3,0.2,2,perf_branches
15,0.020718232044198894,1056117192.3571428,0.06223371214807078,2259396757.542512,100881957.16666651,825032852.4999998,2,0.14285714285714285,3,perf_branches
15,0.031446540880503145,1047548160.4107143,0.06218718994552712,1813543345.5366755,108068653.25,1040608958.75,3,0.21428571428571427,4,perf_branches
14,0.03825136612021858,1147182150.6153846,0.06713724330120452,1839186162.485792,137582736.7999997,1243388602.2000003,3,0.23076923076923078,5,perf_branches
12,0.011988011988011988,40553732.27272727,0.07335563058364009,61035156.46420592,10065491.0,44561619.5,2,0.18181818181818182,1,perf_branch_misses
15,0.014985014985014986,30670956.214285713,0.05701823569496472,48319968.946277715,4580931.75,31558712.125,3,0.21428571428571427,2,perf_branch_misses
15,0.020689655172413793,30596349.38095236,0.05691657362266187,48005013.85358306,4719268.999999516,35634901.833333,3,0.21428571428571427,3,perf_branch_misses
13,0.023722627737226276,35749891.770833336,0.06637784613653136,48868002.437008075,8966920.0,47857272.6875,3,0.25,4,perf_branch_misses
12,0.03278688524590164,38876100.74545455,0.07231121818554553,50844470.55516048,10418062.0,63344971.300000034,3,0.2727272727272727,5,perf_branch_misses
5,0.010917030567685589,18.0,0.25,19.60867155112758,10.0,18.5,1,0.25,1,perf_cpu_clock
3,0.00909090909090909,19.75,0.44886363636363635,10.25,19.75,10.25,1,0.5,2,perf_cpu_clock
5,0.025252525252525252,3.83333325,0.127777775,4.252450342645601,2.0,4.16666675,1,0.25,3,perf_cpu_clock
4,0.030534351145038167,14.5,0.22393822393822393,15.741399768339113,4.0,17.0,1,0.3333333333333333,4,perf_cpu_clock
6,0.07058823529411765,4.68,0.10086206896551723,2.467711490429948,6.0,3.5999999999999943,1,0.2,5,perf_cpu_clock
6,0.0096,8.6,0.19999999999999998,8.42852300228219,4.0,4.0,1,0.2,1,perf_task_clock
6,0.019867549668874173,13.3,0.1821917808219178,17.537388631150307,4.5,5.0,1,0.2,2,perf_task_clock
4,0.014184397163120567,22.166666666666668,0.3036529680365297,27.839819603502377,4.0,30.25,1,0.3333333333333333,3,perf_task_clock
4,0.035398230088495575,7.166666666666667,0.16475095785440613,5.370961014774006,6.0,6.5,1,0.3333333333333333,4,perf_task_clock
3,0.011363636363636364,18.6,0.3141891891891892,15.800000000000002,18.6,15.8,1,0.5,5,perf_task_clock
11,0.01098901098901099,3189.7,0.05330470094754257,4496.542939859465,1403.5,1974.5,2,0.2,1,perf_faults
15,0.01893939393939394,2511.464285714286,0.03893682711452979,4373.350854339617,233.5,2910.25,3,0.21428571428571427,2,perf_faults
14,0.017632241813602016,2346.076923076923,0.0391648160860485,4653.905038284779,788.6666659999973,1350.6666670000013,1,0.07692307692307693,3,perf_faults
20,0.05434782608695652,1650.0,0.02707436836729252,2938.1110126011954,185.75,1876.875,5,0.2631578947368421,4,perf_faults
11,0.02894736842105263,3132.08,0.051361908541404974,3625.1940408204355,1570.0,3742.9000000000015,3,0.3,5,perf_faults
2,0.0125,46961954.57000001,0.29062648419238857,0.0,46961954.57000001,0.0,0,0.0,1,weights
6,0.1016949152542373,15805996.5493,0.07645205714109352,9989376.698122853,10838605.754500002,18412278.747500017,2,0.4,2,weights
3,0.06666666666666667,18156324.35283351,0.10500756815819662,12245761.454166502,18156324.35283351,12245761.454166502,1,0.5,3,weights
4,0.125,13918884.34741667,0.06843614038923243,12056935.929758634,11422445.785750002,14607546.060249984,1,0.3333333333333333,4,weights
6,0.24,10763012.132200003,0.056983320277484775,6988574.155015813,16134273.962199986,12666461.4278,2,0.4,5,weights
3,0.017045454545454544,16060220.0,0.01607391831374136,12785983.0,16060220.0,12785983.0,1,0.5,1,energy
3,0.02054794520547945,16060220.0,0.01607391831374136,12785983.0,16060220.0,12785983.0,1,0.5,2,energy
3,0.0410958904109589,4561478.5,0.004568657796987089,3204690.5,4561478.5,3204690.5,1,0.5,3,energy
5,0.08333333333333333,10453017.25,0.010332959436444149,9146794.209019985,8157901.25,10533640.375,1,0.25,4,energy
