item_name_orig,mean_median_execution_time,rank
time,1.6747312156076077,1.0
perf_instructions,1.6770382365211844,2.0
perf_faults,1.6778629898210056,3.0
perf_L1_dcache_loads,1.6793502675718628,4.0
perf_cache_misses,1.6797917321091518,5.0
perf_branches,1.681001851905603,6.0
perf_cache_references,1.6815191344823688,7.0
perf_cycles,1.6815571740968154,8.0
perf_branch_misses,1.6850785478251056,9.0
perf_time,1.694194926606724,10.0
energy,6.530533050992526,11.0
perf_task_clock,6.671830032581928,12.0
weights,6.863380780606531,13.0
perf_cpu_clock,8.874417391594033,14.0
original,9.785047342506004,15.0
