item_name,rank_median_execution_time,median_execution_time
perf_branch_misses_2,1.0,1.654187433538027
perf_cache_references_1,2.0,1.6563299504923634
perf_time_1,3.0,1.6581860810110811
time_2,4.0,1.6582880505011417
perf_instructions_5,5.0,1.6591367155197076
perf_faults_1,6.0,1.6592718050233088
perf_branches_2,7.0,1.6597393190604635
perf_L1_dcache_loads_1,8.0,1.6617737610358745
perf_faults_4,9.0,1.6678059785044752
perf_cycles_4,10.0,1.668527721427381
perf_branch_misses_5,11.0,1.6687396729830652
perf_L1_dcache_loads_3,12.0,1.6695744454627857
perf_branches_5,13.0,1.6701178170042112
perf_cycles_3,14.0,1.67169675801415
time_3,15.0,1.6721881415287498
perf_instructions_3,16.0,1.67304513650015
perf_cache_misses_4,17.0,1.6732652024948038
time_4,18.0,1.6733893170021474
perf_faults_3,19.0,1.6740211510332301
perf_cycles_5,20.0,1.6742572299554013
perf_branches_1,21.0,1.675081126508303
perf_cache_misses_2,22.0,1.6757886050036177
perf_L1_dcache_loads_5,23.0,1.676608806475997
perf_cache_references_2,24.0,1.6778699824935757
perf_cache_misses_3,25.0,1.677994892525021
time_1,26.0,1.6798303085088264
perf_cycles_2,27.0,1.6799877610756084
perf_branch_misses_4,28.0,1.680984492530115
perf_faults_2,29.0,1.6823637044872157
perf_instructions_1,30.0,1.6831172950332984
perf_time_5,31.0,1.6833019065088592
perf_branches_4,32.0,1.68349510547705
perf_instructions_2,33.0,1.6840635265107267
perf_cache_references_5,34.0,1.6846121394773945
perf_cache_misses_1,35.0,1.6850641685305163
perf_instructions_4,36.0,1.6858285090420395
perf_cache_misses_5,37.0,1.6868457919918
perf_cache_references_3,38.0,1.687924129946623
time_5,39.0,1.6899602604971733
perf_L1_dcache_loads_4,40.0,1.6939587304368615
perf_L1_dcache_loads_2,41.0,1.6948355944477953
perf_time_3,42.0,1.7008421659702435
perf_cache_references_4,43.0,1.7008594700018875
perf_time_4,44.0,1.703545220545493
perf_faults_5,45.0,1.7058523100567982
perf_branch_misses_3,46.0,1.7083756120409817
perf_branch_misses_1,47.0,1.7131055280333385
perf_cycles_1,48.0,1.7133164000115357
perf_branches_3,49.0,1.7165758914779872
perf_time_2,50.0,1.7250992589979433
weights_5,51.0,2.190136698016431
weights_2,52.0,2.914013869012706
perf_task_clock_5,53.0,3.3341860634973273
energy_4,54.0,3.3373832275392488
energy_3,55.0,4.615187635470647
perf_cpu_clock_3,56.0,4.748008851951454
perf_task_clock_3,57.0,6.129225680441596
perf_task_clock_2,58.0,6.329225680441596
energy_2,59.0,7.026036623981781
perf_cpu_clock_2,60.0,7.0282615085016005
perf_task_clock_1,61.0,7.07964609755436
energy_1,62.0,7.326036623981781
perf_cpu_clock_1,63.0,8.709515761525836
perf_cpu_clock_4,64.0,8.951077798497863
weights_4,65.0,9.215544684033375
weights_3,66.0,9.692898476962
original,67.0,9.785047342506004
weights_1,68.0,10.30431017500814
energy_5,69.0,10.348021143989172
perf_task_clock_4,70.0,10.486866640974768
perf_cpu_clock_5,71.0,14.935223037493415
