item_name,rank_new_highs,new_highs
energy_5,1.0,1
weights_1,1.0,1
perf_task_clock_5,2.0,2
energy_3,2.0,2
energy_2,2.0,2
energy_1,2.0,2
weights_3,2.0,2
perf_cpu_clock_2,2.0,2
weights_4,3.0,3
perf_task_clock_4,3.0,3
perf_cpu_clock_4,3.0,3
energy_4,4.0,4
perf_cpu_clock_1,4.0,4
perf_cpu_clock_3,4.0,4
perf_cpu_clock_5,5.0,5
perf_task_clock_3,5.0,5
weights_2,5.0,5
perf_task_clock_1,5.0,5
weights_5,5.0,5
perf_task_clock_2,5.0,5
perf_faults_5,6.0,10
perf_faults_1,6.0,10
perf_branch_misses_5,7.0,11
perf_branch_misses_1,7.0,11
perf_cache_references_2,7.0,11
perf_cache_references_1,7.0,11
perf_instructions_5,7.0,11
perf_cache_references_3,7.0,11
perf_cache_references_5,8.0,12
perf_branch_misses_4,8.0,12
perf_cache_misses_5,8.0,12
time_5,8.0,12
time_3,8.0,12
perf_faults_3,9.0,13
time_1,9.0,13
perf_branches_5,9.0,13
perf_time_2,9.0,13
perf_instructions_2,9.0,13
perf_cache_misses_1,9.0,13
perf_branch_misses_2,10.0,14
perf_L1_dcache_loads_1,10.0,14
perf_L1_dcache_loads_4,10.0,14
perf_faults_2,10.0,14
perf_cache_references_4,10.0,14
perf_cycles_1,10.0,14
perf_cache_misses_4,10.0,14
perf_branches_1,10.0,14
perf_branch_misses_3,10.0,14
perf_branches_3,10.0,14
perf_branches_4,10.0,14
perf_cycles_3,11.0,15
perf_L1_dcache_loads_2,11.0,15
perf_branches_2,11.0,15
perf_instructions_3,11.0,15
perf_time_5,11.0,15
perf_L1_dcache_loads_5,12.0,16
perf_cycles_5,12.0,16
time_4,12.0,16
perf_time_4,12.0,16
perf_L1_dcache_loads_3,13.0,17
perf_time_1,13.0,17
perf_instructions_1,13.0,17
perf_cache_misses_2,14.0,18
perf_instructions_4,14.0,18
time_2,14.0,18
perf_cycles_4,14.0,18
perf_faults_4,15.0,19
perf_cycles_2,15.0,19
perf_time_3,16.0,20
perf_cache_misses_3,16.0,20
