item_name_orig,mean_median_execution_time,rank
energy,4.706104981154203,1.0
perf_time,4.706458237185143,2.0
time,4.709131284034811,3.0
perf_cache_misses,4.711316201346927,4.0
perf_cycles,4.715043287095614,5.0
perf_instructions,4.7721203994937245,6.0
perf_branch_misses,4.791838000924327,7.0
perf_cache_references,4.983640171051957,8.0
perf_L1_dcache_loads,5.00788883951027,9.0
perf_branches,5.022408971725963,10.0
weights,7.023879981902428,11.0
original,10.874310767510906,12.0
perf_task_clock,11.24244438239839,13.0
perf_cpu_clock,15.30558307422325,14.0
perf_faults,16.2050892139785,15.0
