item_name,rank_median_execution_time,median_execution_time
perf_cpu_clock_3,1.0,4.696725319023244
perf_cache_misses_3,2.0,4.696807404048741
energy_4,3.0,4.697043405030854
energy_1,4.0,4.698590830084868
perf_time_5,5.0,4.699519829940982
time_4,6.0,4.7034713954199106
energy_5,7.0,4.705102850566618
perf_instructions_2,8.0,4.705233613029122
perf_time_4,9.0,4.705284302472137
perf_task_clock_3,10.0,4.705454237991944
time_3,11.0,4.70670354354661
perf_cache_misses_2,12.0,4.7072115344926715
time_2,13.0,4.707848103833385
perf_time_2,14.0,4.707864099997096
perf_instructions_3,15.0,4.709139280486852
perf_time_1,16.0,4.7091854815371335
perf_time_3,17.0,4.710437471978366
perf_cache_misses_5,18.0,4.710483367089182
energy_3,19.0,4.71104505949188
perf_cycles_3,20.0,4.712427405524068
perf_cache_misses_4,21.0,4.712449414539151
perf_cycles_1,22.0,4.7128244725754485
time_5,23.0,4.712863122927956
perf_instructions_5,24.0,4.713222280959599
perf_cycles_5,25.0,4.713577550952323
time_1,26.0,4.714770254446194
perf_instructions_4,27.0,4.715397805557586
perf_cycles_4,28.0,4.71581892343238
energy_2,29.0,4.718742760596797
perf_cycles_2,30.0,4.72056808299385
perf_branch_misses_5,31.0,4.722676874604076
perf_branch_misses_2,32.0,4.724592891987413
perf_cache_misses_1,33.0,4.729629286564887
perf_cache_references_2,34.0,4.730593109386973
perf_branch_misses_3,35.0,4.7324380625505
perf_cache_references_3,36.0,4.7375201269751415
perf_branch_misses_4,37.0,4.737593196914531
perf_cache_references_5,38.0,4.738198634469882
perf_cache_references_4,39.0,4.741330244462006
weights_2,40.0,4.929858647985384
perf_L1_dcache_loads_2,41.0,5.004724694066681
perf_L1_dcache_loads_3,42.0,5.004834627965465
perf_branches_1,43.0,5.00499640009366
perf_L1_dcache_loads_5,44.0,5.00518611446023
perf_L1_dcache_loads_1,45.0,5.010956750018522
weights_1,46.0,5.011140261543915
perf_L1_dcache_loads_4,47.0,5.013742011040449
perf_instructions_1,48.0,5.017609017435461
perf_branches_5,49.0,5.018529110471718
perf_branches_4,50.0,5.020034535555169
weights_4,51.0,5.024959461996332
perf_branches_2,52.0,5.034024951513857
perf_branches_3,53.0,5.034459860995412
perf_branch_misses_1,54.0,5.041888978565112
perf_cache_references_1,55.0,5.970558739965782
perf_task_clock_5,56.0,6.415754238609225
perf_cpu_clock_1,57.0,9.611335397465155
weights_5,58.0,9.646813133498654
perf_task_clock_1,59.0,10.47770494397264
weights_3,60.0,10.506628404487856
original,61.0,10.874310767510906
perf_faults_5,62.0,11.058698305860162
perf_faults_1,63.0,11.159016496501863
perf_cpu_clock_4,64.0,15.314509744523093
perf_task_clock_4,65.0,17.204616093542427
perf_task_clock_2,66.0,17.40869239787571
perf_faults_4,67.0,18.76117053302005
perf_faults_2,68.0,19.505799626000226
perf_faults_3,69.0,20.540761108510196
perf_cpu_clock_2,70.0,23.1961225499399
perf_cpu_clock_5,71.0,23.70922236016486
