item_name_orig,mean_median_execution_time,rank
energy,6.2094664328004,6.0
original,6.363353022500007,13.0
perf_branch_misses,3.2975402669002505,9.0
perf_branches,3.9021162509918215,11.0
perf_cache_misses,2.696290191800472,4.0
perf_cache_references,2.9795892071000707,10.0
perf_cpu_clock,2.950711256300201,9.0
perf_cycles,3.749966147299802,5.0
perf_faults,2.7459975915997346,9.0
perf_instructions,2.702014836599983,4.0
perf_task_clock,2.7608821860008903,8.0
perf_time,2.7169404908000616,6.0
time,2.7418167389000017,3.0
weights,6.207421885334043,12.0
