item_name_orig,mean_median_execution_time_median,rank_median,mean_median_execution_time_IQR,rank_IQR
energy,6.2094664328004,6.0,5.7988376207827965,6.5
original,6.363353022500007,13.0,3.7158529696627483,2.0
perf_branch_misses,3.2975402669002505,9.0,2.131962974159342,3.5
perf_branches,3.9021162509918215,11.0,2.0626558008499156,5.0
perf_cache_misses,2.696290191800472,4.0,1.8539512176271047,2.5
perf_cache_references,2.9795892071000707,10.0,1.4679455122582108,4.5
perf_cpu_clock,2.950711256300201,9.0,2.1797163560549957,3.0
perf_cycles,3.749966147299802,5.0,1.9753286987292085,5.0
perf_faults,2.7459975915997346,9.0,2.0598098855776694,3.5
perf_instructions,2.702014836599983,4.0,2.1481256042286994,3.0
perf_task_clock,2.7608821860008903,8.0,2.232354250563378,5.0
perf_time,2.7169404908000616,6.0,2.067611951353819,1.0
time,2.7418167389000017,3.0,1.8831410999388147,2.0
weights,6.207421885334043,12.0,1.7091447309485375,3.5
