item_name_orig,mean_median_execution_time,rank
perf_time,0.0005432963371276855,1.0
perf_task_clock,0.000662684440612793,2.0
perf_cache_misses,0.0007114410400390625,3.0
perf_cycles,0.0007818937301635742,4.0
time,0.0007835626602172852,5.0
perf_cache_references,0.0007840394973754883,6.0
perf_instructions,0.0007951259613037109,7.0
weights,0.0008507966995239258,8.0
perf_branch_misses,0.0008664131164550781,9.0
energy,0.0009118318557739258,10.0
perf_branches,0.0009579658508300781,11.0
perf_faults,0.0011044144630432129,12.0
perf_cpu_clock,0.0011113286018371582,13.0
original,0.07166433334350586,14.0
